"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
F,18,Ingeniería Industrial,2,12,"Aula, Cubículos, Sala de Estudios - Piso1, Sala de Estudios - Piso11","Salas de estudio, Cubículos, Gimnasio",,,0.30,4,4,4,3,3,3,1,1,5,1,0,6,1,1
M,20,Ingeniería Industrial,2,6.50,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas",,,1.30,4,3,5,3,5,5,9,3,30,8,1.2,2,0,2.4
M,20,Ingeniería Industrial,2,7,"Biblioteca, Cubículos, Auditorio de la universidad, Zonas recreativas, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Biblioteca, laboratorios, Zonas recreativas",,,0.5,2,3,1,1,3,4,5,6,5,5,0,3,0,4
M,19,Ingeniería Industrial,2,6,"Cubículos, Sala de Estudios - Piso11, Auditorio de la universidad","Áreas verdes, Cubículos, Gimnasio, Comedor con comida rápida",,,0.5,1,3,5,3,5,2,3,2,10,5,0,1,1,7
F,18,Ingeniería Industrial,2,8,"Cubículos, Bloques de madera -Piso 6","Salas de estudio, Cubículos, Zonas recreativas",,,1,5,3,4,3,2,2,5,3,30,5,0,0.5,2,0
M,18,Ingeniería Civil,2,6.40,Cubículos,"Cubículos, Biblioteca",,,2,3,3,4,2,3,5,2,1,2,4,1,1,5,4
M,18,Ingeniería Mecatrónica,2,4,"Biblioteca, Aula, Sala de Estudios - Piso1, Bloques de madera -Piso 6, Auditorio de la universidad, Zonas recreativas","Gimnasio, Campo deportivo",,,0.5,3,3,4,3,4,3,8,3,50,3,0.5,1,1,1
M,19,Ingeniería Electrónica,9,10,"Aula, Cubículos","Gimnasio, Campo deportivo",,,1,4,3,4,4,5,5,1,1,1,1,1,1,2,1
M,18,Ciencias de la Computación,2,8,"Cubículos, Sala de Estudios - Piso1","Cubículos, Gimnasio, Comedor con comida rápida, Zonas recreativas",,,0.2,4,3,5,2,4,2,3,3,20,4,2,4,2,0
M,18,Ingeniería Civil,2,9,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Campo deportivo, Biblioteca",,,2,5,5,5,4,5,5,1,2,1,2,2,1,1,3
