Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
7,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,20,18,20,0,3,Muy necesario,13,0,12,12,1,170,250,44,5
8,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,20,18,6,0,1,Muy necesario,3,0,3,0.5,0,32,50,10,5
4,18,Varon,2.Sociable,1.Poco_Sociable,Virtual,Reunión de zoom,Extrovertida,20,18,10,4,2,Totalmente necesario,2.5,1,5,2,2,300,99,68,1
4,19,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,78,19,10,0,17,Poco necesario,2.783,1.2,15.333,1.7,1.333,5,100,46,10
4,19,Varon,2.Sociable,1.Poco_Sociable,Virtual,Salón de clases,Introvertida,100,19,12,17,12,Necesario,12.233,1.25,12.4,1.833,1.4,5,13,70,10
2,17,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,100,17,10,2,1,Muy necesario,4,1,7,2,1,52,150,32,5
3,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,1,18,1,1,10,Necesario,0.083,0.083,0.5,1,1.5,60,1,10,2
2,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,2,18,4,0,9,Nada necesario,1,0,5,0,1,12,80,12,30
3,17,Varon,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,5,17,5,0,10,Muy necesario,8,0,4,2,1,40,30,10,5
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,100,18,10,0,10,Totalmente necesario,20,0.5,5,0,6,28,350,75,10
