GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
FEMENINO,Ingeniería Industrial,Smartphone,Canva,"HP, Huawei",Ciencias Generales,15,Quinto superior,Segundo,Regular,Mucho,5,2,300,6,900,15.68,5
FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"Lenovo, Huawei",Cursos de carrera,16.03,Tercio superior,Cuarto,Regular,Mucho,6,2,300,6,3000,15.4,6
FEMENINO,Ingeniería Ambiental,Laptop,Word,"HP, Samsung",Cursos de carrera,18,Tercio superior,Tercero,Poco,Regular,8,3,500,4,1300,16,7
FEMENINO,Ciencia de la Computación,Laptop,MatLab,HP,Cursos de carrera,15,Tercio superior,Tercero,Poco,Poco,4,4,180,5,5000,5,5
MASCULINO,Ingeniería Civil,Laptop,Word,Acer,Ciencias Generales,15,Tercio superior,Cuarto,Regular,Regular,4,3,120,5,1000,15,4
MASCULINO,Bioingeniería,Smartphone,Visual Studio,Acer,Cursos de carrera,20,Decimo superior,Quinto,Regular,Mucho,5,3,240,6,3000,17.3,7
MASCULINO,Ingeniería Civil,Laptop,Khan Academy,"HP, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",18,Tercio superior,Cuarto,Regular,Mucho,6,2,300,7,4000,14.8,6
MASCULINO,Ingeniería Mecatrónica,Smartphone,Power point,"Asus, Xiaomi",Cursos de carrera,17.89,Tercio superior,Quinto,Regular,Regular,5,5,240,6,5600,14.56,5
MASCULINO,Ingeniería Industrial,Laptop,CLion,"HP, Xiaomi",Ciencias Generales,15,Medio superior,Segundo,Regular,Mucho,8,3,300,6,2500,15.34,7
MASCULINO,Ingeniería Industrial,Smartphone,CLion,"Asus, Samsung",Ciencias Generales,16,Medio superior,Segundo,Regular,Regular,6,6,300,7,4700,13.75,7
FEMENINO,Ingeniería Civil,Laptop,Word,"Acer, Samsung",Cursos de carrera,20,Quinto superior,Sexto,Mucho,Mucho,8,3,480,6,3000,16.58,7
MASCULINO,Ingeniería Civil,Laptop,Word,Asus,Cursos de carrera,19,Tercio superior,Sexto,Regular,Mucho,8,3,400,7,7500,15.16,7
MASCULINO,Administración & Negocios Digitales,Smartphone,Canva,Samsung,Cursos de gestión,16,Tercio superior,Segundo,Regular,Regular,4,2,240,7,900,15.2,7
MASCULINO,Ciencia de la Computación,Laptop,Visual Studio,"Lenovo, Samsung",Cursos de carrera,13.6,Ninguno de los anteriores,Sexto,Regular,Mucho,3,3,480,5,2800,13,5
FEMENINO,Ingeniería Ambiental,Laptop,Canva,HP,Cursos de carrera,15.8,Ninguno de los anteriores,Segundo,Regular,Mucho,5,2,480,6,3200,15.8,6
FEMENINO,Ingeniería Ambiental,Laptop,Excel,Lenovo,"Proyectos Interdisciplinarios ,Tesis y Real life Experience",18,Medio superior,Segundo,Mucho,Mucho,7,2,240,6,3000,15.65,6
MASCULINO,Administración & Negocios Digitales,Laptop,Canva,HP,Cursos de carrera,17,Quinto superior,Tercero,Regular,Regular,2,2,240,5,3000,16.19,6
