Aula,Tipo,Piso,Hora,Fecha,Limpio,Ordenado,Aforo,Dispositivos,Pizarra,Alumnos,Ventanas,Tacho,UltimaClase,UltimaLimpieza,SiguienteClase
A203,Aula normal,2,10,2/05/2023,5,Si,Si,2,Si,20,2,si,80,2/05/2023,80
M301,Laboratorio,3,10,2/05/2023,3,Si,No,3,Si,0,2,si,15,2/05/2023,15
L404,Laboratorio,4,10,2/05/2023,4,Si,Si,2,Si,0,1,si,600,2/05/2023,1620
L403,Laboratorio,4,11,2/05/2023,2,Si,No,2,Si,0,2,si,60,2/05/2023,1560
A601,Aula normal,6,11,2/05/2023,0,Si,Si,2,Si,4,1,si,610,2/05/2023,240
A602,Aula normal,6,11,2/05/2023,2,Si,Si,3,Si,20,1,si,540,2/05/2023,520
A705,Aula normal,7,11,2/05/2023,0,Si,No,4,Si,0,1,si,96,2/05/2023,275
A804,Aula mixta,8,11,2/05/2023,3,Si,Si,5,Si,2,2,si,60,2/05/2023,30
A906,Aula normal,9,11,2/05/2023,4,Si,Si,3,Si,8,3,si,8,2/05/2023,8
A905,Aula normal,9,12,2/05/2023,3,Si,Si,2,Si,2,2,si,2,2/05/2023,122
A903,Aula normal,9,12,2/05/2023,5,Si,Si,4,Si,9,3,si,1,2/05/2023,114
A1002,Aula normal,10,12,2/05/2023,3,Si,Si,4,Si,10,2,si,5,2/05/2023,238
A804,Aula mixta,8,12,3/05/2023,5,Si,Si,1,Si,4,2,si,88,2/05/2023,32
A705,Aula normal,7,12,3/05/2023,4,No,Si,1,No,5,1,si,93,2/05/2023,26
A602,Aula pequeña,6,12,3/05/2023,4,No,No,4,Si,3,3,si,100,26/04/2023,1140
A903,Aula pequeña,9,15,3/05/2023,4,No,No,1,No,11,2,si,95,2/05/2023,24
A801,Aula mixta,8,15,3/05/2023,4,Si,Si,4,Si,9,3,si,41,2/05/2023,1020
A803,Aula mixta,8,15,3/05/2023,5,Si,Si,5,Si,5,2,si,345,2/05/2023,1020
A706,Aula normal,7,15,3/05/2023,4,No,Si,4,Si,11,3,si,171,3/05/2023,9
A601,Aula pequeña,6,16,3/05/2023,5,Si,No,1,Si,4,1,si,7,2/05/2023,218
A201,Aula pequeña,2,16,3/05/2023,5,Si,Si,3,Si,0,1,si,27,2/05/2023,33
A203,Aula pequeña,2,16,3/05/2023,5,No,No,1,Si,11,0,si,211,2/05/2023,90
A102,Aula normal,1,16,3/05/2023,4,No,Si,0,Si,16,2,si,156,3/05/2023,1200
A905,Aula normal,9,16,3/05/2023,4,No,Si,4,Si,22,3,si,225,2/05/2023,16
A904,Aula normal,9,16,3/05/2023,5,No,Si,1,Si,10,0,si,46,3/05/2023,13
A101,Aula normal,1,14,3/05/2023,2,No,No,3,No,3,4,no,25,2/05/2023,5
A706,Aula normal,7,16,3/05/2023,4,No,Si,5,Si,24,3,si,115,3/05/2023,2
A705,Aula normal,7,16,3/05/2023,3,No,Si,4,No,1,3,si,3,2/05/2023,83
A202,Aula normal,2,17,3/05/2023,4,Si,Si,3,Si,8,2,si,2,3/05/2023,197
A401,Aula pequeña,4,17,3/05/2023,5,No,Si,3,Si,7,4,si,75,3/05/2023,900
A402,Aula pequeña,4,17,3/05/2023,2,Si,Si,3,Si,6,3,si,390,3/05/2023,900
A501,Aula pequeña,5,17,3/05/2023,4,Si,Si,4,Si,10,2,si,49,3/05/2023,11
A502,Aula pequeña,5,17,3/05/2023,3,Si,Si,2,Si,9,1,si,40,3/05/2023,60
A701,Aula normal,7,17,3/05/2023,3,No,Si,5,Si,5,4,si,35,3/05/2023,180
A702,Aula normal,7,17,3/05/2023,2,Si,Si,3,Si,4,2,si,33,3/05/2023,315
A703,Aula normal,7,17,3/05/2023,1,Si,No,3,Si,6,3,si,96,3/05/2023,840
A704,Aula normal,7,17,3/05/2023,3,Si,Si,2,Si,5,1,no,30,3/05/2023,160
A707,Aula normal,7,17,3/05/2023,5,Si,Si,4,Si,4,3,si,89,3/05/2023,220
A708,Aula normal,7,17,3/05/2023,3,Si,Si,2,Si,8,2,si,28,3/05/2023,149
A901,Aula normal,9,17,3/05/2023,2,No,Si,3,Si,6,0,si,23,3/05/2023,264
A902,Aula normal,9,17,3/05/2023,3,Si,Si,3,Si,7,2,no,20,3/05/2023,160
A906,Aula normal,9,17,3/05/2023,2,Si,No,4,Si,11,3,si,18,3/05/2023,257
A907,Aula normal,9,17,3/05/2023,1,Si,Si,3,Si,13,5,si,12,3/05/2023,182
A908,Aula normal,9,17,3/05/2023,3,Si,Si,2,Si,11,2,si,11,3/05/2023,19
A803,Aula mixta,8,17,3/05/2023,2,Si,Si,4,Si,10,4,si,9,3/05/2023,189
A704,Aula normal,7,17,3/05/2023,4,No,No,3,Si,12,1,si,25,3/05/2023,35
A601,Aula pequeña,6,17,3/05/2023,5,No,No,1,Si,4,1,si,330,2/05/2023,150
A203,Aula pequeña,2,17,3/05/2023,3,No,No,1,Si,15,1,si,278,2/05/2023,22
A102,Aula normal,2,17,3/05/2023,3,No,Si,1,Si,13,2,si,345,3/05/2023,1020
A704,Aula normal,7,20,3/05/2023,3,No,No,2,Si,0,2,si,2,3/05/2023,662
A401,Aula pequeña,4,20,3/05/2023,5,No,Si,1,No,2,4,si,7,3/05/2023,727
A706,Aula normal,7,20,3/05/2023,5,Si,Si,3,Si,1,2,si,19,3/05/2023,739
A801,Aula mixta,8,20,2/05/2023,3,No,Si,1,Si,1,0,si,24,3/05/2023,668
A804,Aula mixta,8,20,2/05/2023,2,No,Si,0,Si,2,1,si,27,2/05/2023,753
A705,Aula normal,7,21,3/05/2023,4,No,No,2,Si,0,2,si,62,3/05/2023,602
