IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2021-2,No,E,Becado,150,3,13,Metropolitano o tren,30,Soy postpago,5,Ahorra casi todo,No,"No conoce, si administra",Rara vez,Otros,15,0,Regular,0,Sí,2,"Ni eficiente, ni ineficiente",0
2022-1,Sí,E,Credito educativo,20,0,12,Metropolitano o tren,15,Soy postpago,6,Ahorra un poco,No,"No conoce, no administra",Casi nunca,Otros,5,0,Buena,0,Sí,2,Ineficiente,0
2020-2,No,D,Becado,80,0,5,Otros,0,Soy postpago,5,Ahorra todo,No,"No conoce, si administra",A veces,Tik Tok,20,0,Regular,1,Sí,3,Eficiente,0
2022-2,No,D,Becado,20,0,5,Bus,60,Soy prepago,6,Ahorra un poco,No,"No conoce, no administra",Casi nunca,Tik Tok,1,0,Muy mala,0,Sí,0,Ineficiente,0
2021-2,No,E,Becado,200,0,5,Metropolitano o tren,12.5,Soy postpago,5,Ahorra casi nada,No,"Si conoce, no administra",Rara vez,Eventos de UTEC,20,1,Regular,1,No,2,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,200,0,5,Bus,60,Soy postpago,6,Ahorra casi nada,Sí,"No conoce, si administra",A veces,Instagram,20,3,Mala,1,No,2,Eficiente,0
2022-1,No,E,No becado,20,6,10,Otros,3,Soy prepago,6,Ahorra casi todo,Sí,"No conoce, si administra",Casi nunca,Podcast,18,1,Mala,3,No,3,"Ni eficiente, ni ineficiente",10
2022-1,Sí,E,Credito educativo,150,5,11,Bus,100,Soy postpago,5,Ahorra un poco,No,"No conoce, si administra",A veces,Tik Tok,10,0,Regular,1,Sí,3,"Ni eficiente, ni ineficiente",0
2023-1,No,E,No becado,100,5,10,Metropolitano o tren,16,Soy postpago,5,Ahorra casi todo,Sí,"No conoce, si administra",Rara vez,Tik Tok,40,0,Buena,0,Sí,2,Muy eficiente,0
2022-2,No,D,Becado,60,3,16.5,Metropolitano o tren,15.5,Soy prepago,3,Ahorra casi todo,No,"Si conoce, no administra",A veces,Otros,8,1,Regular,Más de 5 cursos o talleres,Sí,0,Ineficiente,10
2023-1,No,C,No becado,300,1,16,Metropolitano o tren,40,Soy prepago,6,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Otros,10,0,Buena,0,Sí,0,"Ni eficiente, ni ineficiente",3
2021-2,No,E,Becado,120,4,12,Metropolitano o tren,60,Soy prepago,4,Ahorra un poco,Sí,"Si conoce, no administra",Casi siempre,Otros,20,3,Regular,0,Sí,3,Poco eficiente,10
2021-2,No,E,Becado,100,1,12,Otros,0,Soy postpago,6,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Otros,30,1,Buena,1,Sí,2,Eficiente,0
2022-2,No,D,No becado,20,1,14.5,Metropolitano o tren,15,Soy postpago,4,Ahorra todo,No,"No conoce, si administra",Casi nunca,Eventos de UTEC,10,0,Excelente,0,Sí,0,Ineficiente,0
2021-2,No,A,Becado,55,4,11,Otros,1.2,Soy prepago,6,Ahorra un poco,No,"No conoce, no administra",Casi nunca,Podcast,20,2,Regular,0,Sí,4,"Ni eficiente, ni ineficiente",5
2020-2,No,C,Becado,100,3,12,Bus,20,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, no administra",Rara vez,Facebook,30,2,Regular,2,Sí,3,Eficiente,5
2022-2,No,E,Becado,150,4,15,Bus,6,Soy postpago,5,Ahorra casi todo,No,"Si conoce, no administra",A veces,Instagram,20,0,Regular,0,Sí,2,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,60,0,5,Metropolitano o tren,60,Soy prepago,3,Ahorra casi nada,Sí,"Si conoce, no administra",A veces,Eventos de UTEC,10,2,Regular,1,Sí,2,"Ni eficiente, ni ineficiente",10
2020-1,No,C,No becado,30,1,13,Bus,10,Soy prepago,5,Ahorra todo,No,"Si conoce, si administra",Casi nunca,Otros,7,0,Buena,0,Sí,0,Eficiente,5
2022-2,Sí,E,No becado,300,4,11,Metropolitano o tren,50,Soy prepago,6,Ahorra casi nada,No,"Si conoce, si administra",A veces,Instagram,10,0,Regular,1,No,1,"Ni eficiente, ni ineficiente",20
2021-2,No,E,Becado,200,6,12,Otros,0,Soy prepago,6,Ahorra casi todo,Sí,"No conoce, si administra",Casi nunca,Tik Tok,50,2,Excelente,1,Sí,3,"Ni eficiente, ni ineficiente",5
2022-1,No,E,No becado,50,2,12,Metropolitano o tren,8,Soy postpago,6,Ahorra un poco,Sí,"Si conoce, no administra",A veces,Otros,10,1,Regular,0,No,0,"Ni eficiente, ni ineficiente",0
2023-1,No,E,Credito educativo,40,1,14,Metropolitano o tren,38.5,Soy postpago,6,Ahorra un poco,Sí,"Si conoce, si administra",Casi siempre,Tik Tok,4,0,Excelente,0,Sí,0,Poco eficiente,0
2022-1,No,E,No becado,20,3,10,Bus,1,Soy postpago,5,Ahorra un poco,Sí,"No conoce, si administra",A veces,Tik Tok,10,1,Regular,0,Sí,1,Muy eficiente,0
2022-1,No,E,No becado,30,1,20,Otros,0,Soy postpago,3,Ahorra todo,No,"Si conoce, si administra",Rara vez,Tik Tok,10,2,Regular,0,Sí,0,Poco eficiente,0
2023-1,No,D,No becado,150,5,15,Taxi,70,Soy postpago,6,Ahorra casi nada,Sí,"Si conoce, si administra",A veces,Instagram,40,1,Regular,1,Sí,1,"Ni eficiente, ni ineficiente",0
2021-2,No,E,Becado,240,5,13,Metropolitano o tren,14,Soy postpago,5,Ahorra casi todo,Sí,"Si conoce, si administra",Casi siempre,Podcast,20,2,Buena,1,Sí,3,Eficiente,0
2021-2,No,D,Becado,250,3,28,Metropolitano o tren,60,Soy prepago,6,Ahorra un poco,Sí,"Si conoce, si administra",A veces,Tik Tok,0,1,Buena,0,Sí,3,"Ni eficiente, ni ineficiente",10
2021-2,No,A,Becado,14.4,2,6,Metropolitano o tren,20,Soy postpago,6,Ahorra todo,No,"Si conoce, no administra",Casi nunca,Tik Tok,0,3,Excelente,4,Sí,5,Muy eficiente,0
2021-2,No,D,Becado,200,3,23,Metropolitano o tren,60,Soy postpago,6,Ahorra casi todo,Sí,"Si conoce, si administra",A veces,Facebook,50,5,Regular,2,No,5,"Ni eficiente, ni ineficiente",0
2021-1,No,B,Credito educativo,120,5,9,Metropolitano o tren,12,Soy postpago,6,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Otros,70,2,Excelente,4,Sí,1,Eficiente,0
