Edad,Sexo,Ciclo,Promedio_ponderado,Distrito,Transporte,Tiempo_transporte,Horas_dormidas,Min_pasaje,Max_pasaje,Hora_salida_hogar,Hora_salida_de_UTEC,Faltas,Max_pasaje_no_planeado,Min_pasaje_no_planeado,Max_pasaje_bus,Min_pasaje_bus,Promedio_pasaje,Promedio_pasaje_no_planeado,Promedio_pasaje_bus
17,Hombre,2,15.4,Barranco,Caminando,5,8,0,0,7,20,0,0,0,7,5,0,0,6
18,Hombre,5,17.3,San Juan de Lurigancho,Tren eléctrico,90,6,4.5,7,6,8,2,15,10,2.5,2,5.75,12.5,2.25
17,Hombre,2,14.52,La molina,Metropolitano,75,7,5.4,6,7,13,2,40,30,1.8,1,5.7,35,1.4
19,Mujer,4,17.35,Ate,Metropolitano,120,6,3.5,4.2,7,15,3,35,20,2.5,1.3,3.85,27.5,1.9
18,Hombre,3,16.7,Santa Anita,Colectivo,115,5,2.5,5,8,17,2,60,25,3,1.1,3.75,42.5,2.05
18,Hombre,2,16.32,Santiago de Surco,Bus,NA,5,1,2,7,14,2,20,10,5,1,1.5,15,3
21,Hombre,4,15.950000000000003,Barranco,Caminando,10,7,0,1.2,9,18,0,0,0,2.3,1.5,0.6,0,1.9
18,Hombre,3,17.01,Miraflores,Caminando,30,3,0,1,8,20,5,0,0,2,0,0.5,0,1
18,Hombre,3,13.89,Santiago de Surco,Colectivo,50,7,2,2.5,7,15,2,20,9,5,2,2.25,14.5,3.5
20,Mujer,3,16.72,Cercado de Lima,Metropolitano,75,6,3.75,20,7,8,1,20,20,2.5,1,11.88,20,1.75
18,Hombre,5,16.17,La molina,Bus,95,6,3.349999999999999,6.75,8,16,7,25,12.5,3.3,1.5,5.05,18.75,2.4
19,Mujer,3,17.939999999999994,San isidro,Bus,90,7,3.2,5.6,9,18,4,25,8,3.2,2.5,4.4,16.5,2.85
19,Mujer,4,16.2,San Miguel,Alimentador,55,7,2.5,6.5,6,14,0,0,0,3.75,1.2,4.5,0,2.48
18,Hombre,4,16.82,Chorrillos,Bus,12,7,1.2,3.75,8,16,2,12,12,3,1.25,2.48,12,2.12
19,Mujer,4,13.350000000000003,Barranco,Caminando,5,5,0,0,9,20,0,0,0,6,3,0,0,4.5
18,Hombre,3,16.53,Santiago de Surco,Carro propio,NA,6,0,0,7,17,0,25,15,3,1.5,0,20,2.25
18,Hombre,2,17.5,Santiago de Surco,Bus,7,6,3,3.5,9,18,3,30,15,3.5,1.5,3.25,22.5,2.5
20,Mujer,3,14.350000000000003,Santiago de Surco,Bus,15,6,2,1,6,10,2,10,1,2,1,1.5,5.5,1.5
19,Mujer,2,14.5,Villa el Salvador,Bus,90,5,4,5.5,6,19,4,15,10,3,2,4.75,12.5,2.5
21,Mujer,4,14.5,Barranco,Caminando,14,6,0,0,10,13,0,0,0,0,0,0,0,0
20,Mujer,3,13.55,Santiago de Surco,Bus,20,6,1,1.5,6,14,2,15,10,3,2,1.25,12.5,2.5
20,Mujer,4,12,Barranco,Colectivo,15,6,1,1.5,7,18,2,9,5,5,4,1.25,7,4.5
18,Mujer,3,12.34,Independencia,Metropolitano,120,5,6,8,5,15,6,8,6,7,5,7,7,6
19,Hombre,4,14.6,Pueblo Libre,Metropolitano,50,7,2.349999999999999,4.7,8,20,1,20,16,5,4.7,3.52,18,4.85
20,Mujer,4,14,Barranco,Caminando,10,6,0,0,6,20,2,17,17,3.2,1.25,0,17,2.22
19,Hombre,5,13.79,Barranco,Caminando,5,6,0,20,6,14,1,0,0,0,0,10,0,0
18,Mujer,3,17.12,San isidro,Metropolitano,55,8,1.3,3.7,8,15,0,20,20,2.25,1,2.5,20,1.62
19,Hombre,2,18.04,Lince,Bus,90,6,2.5,4.5,7,17,3,35,20,3.25,1.25,3.5,27.5,2.25
21,Mujer,3,17.82,Ate,Bus,105,7,2.5,4.2,9,19,6,20,12,2.5,1,3.35,16,1.75
18,Hombre,4,16.110000000000007,Ate,Bus,105,6,2.5,4.5,9,19,3,20,12,2.25,1,3.5,16,1.62
19,Mujer,2,14.350000000000003,San Juan de Miraflores,Bus,40,6,1.5,3,6,15,3,20,15,3,2,2.25,17.5,2.5
20,Mujer,3,14.3,San Juan de Miraflores,Bus,35,6,2,4,6,8,2,20,15,4,3,3,17.5,3.5
20,Hombre,4,15.450000000000003,Barranco,Bus,10,6,1,1.5,7,8,0,12,10,3,2,1.25,11,2.5
19,Hombre,2,15.23,La molina,Bus,100,5,3.5,5.75,9,20,8,25,11,2.75,1.2,4.62,18,1.98
20,Mujer,4,13.8,Pachacamac,Bus,7,6,8,10,5,12,10 a más,14,9,3.6,1.8,9,11.5,2.7
20,Hombre,4,16.54,Chorrillos,Bus,20,6,1.5,2,6,14,1,15,10,4,2,1.75,12.5,3
19,Mujer,2,15.54,San Juan de Miraflores,Bus,85,5,3.5,5.2,9,16,0,33,18,4,1.25,4.35,25.5,2.62
20,Mujer,4,14.370000000000003,El agustino,Bus,18,6,2,4,6,14,3,20,15,3,2,3,17.5,2.5
20,Hombre,3,15.450000000000003,San Juan de Miraflores,Bus,40,6,2,4,6,8,2,20,12,3,2,3,16,2.5
18,Hombre,2,17.67,Los Olivos,Bus,125,6,3.2,6.5,9,16,3,0,0,1.5,1,4.85,0,1.25
19,Hombre,2,15.24,San Juan de Miraflores,Bus,120,4,7,9,5,21,1,24,10,2,1.5,8,17,1.75
18,Mujer,4,14.55,La Victoria,Bus,30,6,2,3,7,16,2,15,10,3,2,2.5,12.5,2.5
21,Hombre,4,17.45,La molina,Metropolitano,50,5,2,3,7,8,2,20,15,3,2,2.5,17.5,2.5
20,Mujer,3,13.34,Santiago de Surco,Bus,15,7,2,5,9,16,1,12,10,6,4,3.5,11,5
19,Mujer,3,14.870000000000003,Santa Anita,Colectivo,115,8,3.5,4.2,9,19,10 a más,0,0,2.6,1.1,3.85,0,1.85
19,Hombre,3,15.11,Carabayllo,Bus,155,5,4.7,8.2,5,14,10 a más,45,25,3.7,1.5,6.45,35,2.6
18,Hombre,3,15.39,San Luis,Bus,50,7,1.5,3.5,7,18,2,0,0,1.5,1,2.5,0,1.25
19,Hombre,4,15.65,Independencia,Metropolitano,35,6,3,4,7,19,1,15,10,4,2,3.5,12.5,3
20,Hombre,8,17.650000000000006,Villa Maria del Triunfo,Bus,45,5,3,8,5,11,2,60,20,3,1,5.5,40,2
20,Mujer,3,13.56,Santiago de Surco,Bus,20,6,1.5,2,7,17,2,15,10,3,2,1.75,12.5,2.5
18,Mujer,4,15.76,Barranco,Bus,15,7,1,1.5,8,15,1,12,10,1.5,1,1.25,11,1.25
24,Mujer,5,16.4,Chorrillos,Bus,25,7,2,3,6,13,1,40,25,2,1,2.5,32.5,1.5
18,Hombre,3,12.96,La molina,Bus,60,6,1.25,2.25,6,13,5,0,0,2.5,1.5,1.75,0,2
21,Hombre,6,13.82,Lince,Bus,45,7,2.2,15,8,22,4,18,12,3.5,1,8.6,15,2.25
22,Mujer,8,15,Barranco,Caminando,12,7,0,0,8,12,0,50,15,2,1,0,32.5,1.5
21,Hombre,7,NA,San Juan de Miraflores,Bus,40,4.5,2.5,4,10,18,2,40,10,4,1,3.25,25,2.5
18,Hombre,3,11.97,La molina,Metropolitano,55,5,1.25,2.25,5,12,7,0,0,2.5,1,1.75,0,1.75
19,Mujer,4,16,Independencia,Metropolitano,120,6,1.25,5,8,9,0,10,5,5,2,3.12,7.5,3.5
20,Mujer,2,14.6,Puente piedra,Metropolitano,140,5,9,10,14,19,6,5,4,3,2,9.5,4.5,2.5
19,Mujer,4,14.3,Chaclacayo,Metropolitano,150,6,8,32.5,5,16,5,32.5,22,2.5,1,20.25,27.25,1.75
18,Mujer,2,15,Carabayllo,Metropolitano,110,5,6,8,7,16,2,9,6,3,2,7,7.5,2.5
19,Hombre,4,13.5,La molina,Bus,50,5,1.25,2.25,5,14,5,0,0,3,1.25,1.75,0,2.12
17,Hombre,3,12.8,Ate,Bus,70,7,2.25,2.25,5,15,4,0,0,2.5,1.5,2.25,0,2
20,Hombre,2,NA,San Juan de Miraflores,Metropolitano,10,2,2,50,5,16,10 a más,150,50,5,1,26,100,3
19,Mujer,4,15,Jesús maría,Bus,45,6,3,5,8,19,3,23,15,4,1.7,4,19,2.85
18,Mujer,3,14.5,Villa el Salvador,Bus,120,6,5,19,8,10,10 a más,26,16,3.7,1.9,12,21,2.8
