Sexo,Edad,Carrera,Ciclo,Comodidad,Herramienta,GastoMaxD,GastoMaxT,TiempoD,TiempoT,HerramientasD,HerramientasT,AprendizajeD,AprendizajeT,Importancia
Masculino,20,Ing. Civil,4,Tradicional,Cuaderno,4300,50,8,4,3,2,3,3,Indeciso
Masculino,22,Ing. Civil,4,Tradicional,Cuaderno,4000,50,8,4.03,2,2,3,5,Totalmente de acuerdo
Masculino,24,Ciencias de la Computación,3,Digital,Laptop,2800,15,8.67,4.33,3,2,4,3,De acuerdo
Masculino,19,Ciencias de Datos,4,Digital,Laptop,3456.34,56.78,5.5,4.5,2,2,5,5,Totalmente de acuerdo
Masculino,19,Ing. Civil,4,Digital,Laptop,3000,200,4,5,2,2,5,4,Totalmente de acuerdo
Femenino,20,Ing. Civil,4,Tradicional,Cuaderno,4000,50,4,5,2,2,5,5,Indeciso
Femenino,20,Ing. Civil,4,Tradicional,Cuaderno,3500,50,5,5,2,2,2,4,De acuerdo
Femenino,19,Ing. Ambiental,4,Tradicional,Bloc de Notas,5000,60,12,5,2,2,5,5,De acuerdo
Femenino,19,Ing. Industrial,4,Tradicional,Cuaderno,4500,50,9.5,5.5,2,2,4,5,De acuerdo
Masculino,20,Ing. Industrial,4,Tradicional,Cuaderno,3900,15,4.33,6,1,2,4,4,Indeciso
Masculino,18,Ciencias de la Computación,3,Tradicional,Cuaderno,2500,30,5,6,1,2,3,4,De acuerdo
Femenino,18,Bioingeniería,3,Digital,Tablet,1800,10,10,6,2,2,5,4,En desacuerdo
Masculino,20,Ing. Civil,4,Digital,Cuaderno,5000,15,12,6,1,2,5,5,De acuerdo
Masculino,19,Ing. Industrial,3,Tradicional,Celular,0,20,0,8,1,2,5,5,De acuerdo
Femenino,18,Ing. Civil,4,Tradicional,Cuaderno,4000,35,3,8,2,2,4,5,De acuerdo
Masculino,19,Bioingeniería,4,Tradicional,Cuaderno,3500,50,6,8,2,2,4,4,Indeciso
Masculino,21,Ing. Civil,4,Tradicional,Cuaderno,3800,150,12,12,2,2,4,3,En desacuerdo
Femenino,17,Ing. Química,3,Tradicional,Laptop,2100,50,6,2,2,3,2,4,Indeciso
Femenino,21,Ing. Química,4,Tradicional,Cuaderno,4000,5,1,3,2,3,2,5,De acuerdo
Masculino,19,Ing. Civil,4,Tradicional,Laptop,0,50,4,3,3,3,3,3,Totalmente de acuerdo
Femenino,17,Ing. Mecánica,3,Tradicional,Tablet,3000,100,4.5,3,2,3,3,5,Totalmente de acuerdo
Femenino,19,Ing. Química,4,Tradicional,Cuaderno,0,35,6,3,2,3,4,4,De acuerdo
Masculino,20,Ing. Civil,4,Digital,Laptop,5000,20,8,3,2,3,4,4,De acuerdo
Femenino,18,Ing. Química,4,Tradicional,Cuaderno,2700,50,4,4,1,3,4,4,Indeciso
Masculino,19,Ing. Civil,4,Tradicional,Cuaderno,4000,100,6,4,2,3,2,4,Indeciso
Masculino,21,Ciencias de la Computación,4,Tradicional,Cuaderno,4000,100,5.5,4.25,1,3,3,3,De acuerdo
Masculino,17,Ing. Química,3,Tradicional,Cuaderno,700,0,5,4.5,1,3,2,4,Totalmente de acuerdo
Masculino,18,Ing. Electrónica,3,Tradicional,Cuaderno,2500,28,4,5,2,3,3,4,Indeciso
Masculino,17,Ciencias de Datos,3,Tradicional,Cuaderno,5000,100,6.5,5,4,3,3,5,De acuerdo
Masculino,22,Ing. Civil,4,Tradicional,Cuaderno,5000,50,7,5,3,3,3,5,De acuerdo
Otro,22,Bioingeniería,4,Tradicional,Laptop,1000,10,5.08,5.02,2,3,3,4,Totalmente de acuerdo
Femenino,20,Ing. Ambiental,4,Tradicional,Cuaderno,0,20,0,6,1,3,3,5,Indeciso
Femenino,20,Ing. Industrial,4,Tradicional,Bloc de Notas,0,5,7.5,6.1,2,3,3,5,Indeciso
Masculino,22,Ing. Civil,4,Tradicional,Cuaderno,2580,25,6,8,2,3,3,5,Totalmente de acuerdo
Femenino,21,Ing. Industrial,4,Digital,Bloc de Notas,3500,15,6.83,8.37,4,3,4,2,De acuerdo
Masculino,20,Ing. Civil,4,Tradicional,Cuaderno,3000,7,8,9,2,3,3,4,De acuerdo
Femenino,19,Ing. Ambiental,3,Tradicional,Cuaderno,3000,100,9.5,9.5,2,3,5,5,Indeciso
