CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,11,30,21,105.15,30.4,5.4,18.5,5.4,1770.3
112192,ATE,2015,11,30,22,103.22,29.7,5.7,17.1,5.3,1718.2
112192,ATE,2015,11,30,23,106.09,32.6,5.7,14.8,5.4,1694.4
112192,ATE,2015,12,1,0,111.18,24.5,3.7,12.4,5.3,1647
112192,ATE,2015,12,1,1,103.48,19.9,3.5,10.3,5.6,1561.1
112192,ATE,2015,12,1,2,87.61,22.4,1.1,7.9,5.9,1453
112192,ATE,2015,12,1,3,77.11,18,4.2,5.3,6,1365.7
112192,ATE,2015,12,1,4,53.47,16.2,1.3,3.7,7.9,1338.8
112192,ATE,2015,12,1,5,53.59,16.2,1,3.2,12.4,1253.6
112192,ATE,2015,12,1,6,44.8,15.5,1.7,2.6,11.5,1325.6
112192,ATE,2015,12,1,7,43.61,16.3,1,8.7,10.1,1501.2
112192,ATE,2015,12,1,8,65.56,18.7,0.3,8.9,7.7,1626
112192,ATE,2015,12,1,9,86.2,32.7,3.4,13.6,9.2,1829.5
112192,ATE,2015,12,1,10,94.3,43.8,4.1,25.2,10.6,2055.9
112192,ATE,2015,12,1,11,92.56,33.8,2.7,23.4,16.7,1815.5
112192,ATE,2015,12,1,12,80.93,29.7,2.4,20.8,21.7,1619.9
112192,ATE,2015,12,1,13,77.26,15.1,1.4,14.4,29,1507.9
112192,ATE,2015,12,1,14,72.38,19.4,1.4,12.7,43.3,1489.7
112192,ATE,2015,12,1,15,74.36,19.1,2.8,9.1,37.7,1461.8
112192,ATE,2015,12,1,16,73.41,16.4,1.4,14.4,30.9,1515.5
112192,ATE,2015,12,1,18,103.67,26.3,2.1,20.6,13,1665.8
112192,ATE,2015,12,1,19,114.37,27.7,0.6,21,6.9,1809.6
112192,ATE,2015,12,1,20,116.13,29.5,4.6,24,6.7,1907.4
112192,ATE,2015,12,1,21,137.37,28.8,5.8,26,6.3,2186.7
112192,ATE,2015,12,1,22,141.96,27.2,5.4,28,5.9,2085.4
112192,ATE,2015,12,1,23,117.47,29.8,4.4,23.4,5.7,2057.7
112192,ATE,2015,12,2,0,108.24,22.6,4,21.4,5.9,1938.7
112192,ATE,2015,12,2,1,109.9,23.7,2.2,17.3,6.1,1784.5
112192,ATE,2015,12,2,2,102.82,33.7,1.5,10.1,6,1554.2
112192,ATE,2015,12,2,3,71.4,33.5,0.8,3.2,6.5,1394.3
112192,ATE,2015,12,2,4,74.27,30.8,1.4,3.1,5.7,1371.3
112192,ATE,2015,12,2,5,59.66,30.2,1.2,3.2,6.1,1413.7
112192,ATE,2015,12,2,6,67.03,25.5,2.4,3.1,7.4,1400.4
112192,ATE,2015,12,2,7,42.77,28.5,8.1,7.1,17,1424.5
112192,ATE,2015,12,2,8,58.38,23.1,3.7,11.1,9.1,1719.8
112192,ATE,2015,12,2,9,76.22,25.6,3.4,21.9,8.5,2079
112192,ATE,2015,12,2,10,75.28,29.6,3.8,25.2,8.7,2046.1
112192,ATE,2015,12,2,11,92.4,31.8,2.2,28.8,11.6,1940.9
112192,ATE,2015,12,2,12,94.63,32.1,2.5,31.3,17.5,1878.8
112192,ATE,2015,12,2,13,104,33.8,3.6,46.3,33.4,1980.1
112192,ATE,2015,12,2,14,103.85,33.6,3.4,47.7,47.7,1886.6
112192,ATE,2015,12,2,15,105.05,19.8,2,27.1,43.8,1611.8
112192,ATE,2015,12,2,16,98.96,23.9,10.6,24.3,27.7,1954.8
112192,ATE,2015,12,2,17,92.88,19.9,15.2,31.5,16.3,1822.5
112192,ATE,2015,12,2,18,141.62,32.3,9.1,38.7,8.5,2019.6
112192,ATE,2015,12,2,19,136.69,41.3,3,33.2,6.1,1934.2
112192,ATE,2015,12,2,20,154.4,33.8,15.7,30.3,6.1,2195.8
112192,ATE,2015,12,2,21,130.81,26.7,6.7,27.4,5.4,2153.3
112192,ATE,2015,12,2,22,103.32,27.9,7.7,21.8,5.4,1929.4
112192,ATE,2015,12,2,23,107.49,28.5,6.2,20.8,5.1,1865.1
112192,ATE,2015,12,3,0,106.92,28.4,5.4,18.5,5.2,1843.3
112192,ATE,2015,12,3,1,93.96,43.4,4.2,10.2,4.7,1612
112192,ATE,2015,12,3,2,105.24,53.2,7,8.9,5.4,1540
112192,ATE,2015,12,3,3,110.87,60.3,4.1,9.7,5.2,1480.5
112192,ATE,2015,12,3,4,142.57,64,12.6,12.3,5.5,1611.3
112192,ATE,2015,12,3,5,140.73,66.3,6.7,11.2,5.3,1634.1
112192,ATE,2015,12,3,6,94.66,48.4,3.6,11.1,5,1530.8
112192,ATE,2015,12,3,7,95.31,37.2,0.6,11,7.6,2058.5
112192,ATE,2015,12,3,8,70.61,31.7,1,13.1,6.3,2590
112192,ATE,2015,12,3,9,47.39,23.2,3.4,15.1,8.7,1931.4
112192,ATE,2015,12,3,10,74.74,25.9,3.5,25.8,9.1,2078.4
112192,ATE,2015,12,3,11,81.92,32.6,2.5,35,13.8,2068.8
112192,ATE,2015,12,3,12,99.04,34.1,1.8,46.5,30.4,2000.4
112192,ATE,2015,12,3,13,88.28,37.7,5.3,43.6,43,1794.9
112192,ATE,2015,12,3,14,102.69,20.2,4.3,23.8,44.6,1577.2
112192,ATE,2015,12,3,15,104.21,20.4,3.4,20.5,47.8,1540.9
112192,ATE,2015,12,3,16,108.36,28.4,2.4,28.3,37.6,1640.7
112192,ATE,2015,12,3,17,115.85,19,2.3,26.2,23.8,1607.7
112192,ATE,2015,12,3,18,122.44,18.4,4.3,29.4,9.9,1860.7
112192,ATE,2015,12,3,19,148.79,20.6,6.2,33.3,6.4,2112.5
112192,ATE,2015,12,3,20,159.79,22.9,3.9,33.8,6.7,2525.9
112192,ATE,2015,12,3,21,144.78,23.5,6.2,29.6,6.2,2362.7
112192,ATE,2015,12,3,22,131.04,26.9,5.6,26.3,6.6,2390.5
112192,ATE,2015,12,3,23,131.12,28.9,4.8,23.8,6.5,2431.1
112192,ATE,2015,12,4,0,138.37,32.9,5.6,24.8,6.8,2495.6
112192,ATE,2015,12,4,1,142.58,41.9,8.4,26,6.9,2300.7
112192,ATE,2015,12,4,2,141.37,45.8,13,22.5,8.6,2327.8
112192,ATE,2015,12,4,3,110.69,42.7,9.5,17.1,5.5,1838.3
112192,ATE,2015,12,4,4,147.03,58.1,6.3,16.5,4.9,1802.9
112192,ATE,2015,12,4,5,166.64,72.2,13.7,16.3,5.5,1830.3
112192,ATE,2015,12,4,6,146.39,66.5,5.4,17.4,5.3,1788.6
112192,ATE,2015,12,4,7,100.15,50.3,1.8,14.4,5.9,1804.6
112192,ATE,2015,12,4,8,49.66,36.5,1.3,13.7,6.4,1833
112192,ATE,2015,12,4,9,44.29,29.7,2.2,18.8,8.2,1843.8
112192,ATE,2015,12,4,10,64.49,27.1,2.6,21.5,10.8,1847.2
112192,ATE,2015,12,4,11,100.8,32.6,2.9,40.2,15.4,2114.3
112192,ATE,2015,12,4,12,100.43,35.5,1.7,37.1,22.3,1872.7
112192,ATE,2015,12,4,13,106.9,28.1,3.1,33.1,40,1748.5
112192,ATE,2015,12,4,14,103.14,20.6,20.9,29.7,51.3,1721.9
