Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Colombia,,,3,4,3,3,4,3,3,4,4,3,3,4,5,4,4,4,3,3,3,3,3,3,3,3,4,4,,,,4,4,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,
Comoras,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
Cabo Verde,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,
Costa Rica,,,,,,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,,,,,,,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,
Estados pequeos del Caribe,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,,,,3,2,4,3,2,2,2,1,1,1,1,2,1,2,2,3,2,1,2,2,2,2,2,2,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
Chipre,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,
República Checa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,
Alemania,,,10,10,12,13,12,12,13,13,11,9,7,7,8,6,7,7,5,6,6,5,5,5,5,5,5,4,5,6,4,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4
Djibouti,,,0,,,,,,,,,,,,,,,,,,0,1,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,1,0,0,1,0,,0,,0,0,0,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,,1,,,,,,,,
Dinamarca,,,3,3,3,4,3,3,3,4,4,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2
República Dominicana,,,,,,,,,,,,,1,2,2,1,2,1,2,2,2,1,1,1,2,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Argelia,,,,,,,1,,1,2,2,2,,2,2,2,1,1,1,2,2,2,1,1,2,2,2,3,,,,,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,,,
Asia oriental y el Pacífico (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,,,,,4,4,3,4,4,4,4,5,5,5,5,5,6,7,8,10,10,11,11,11,10,10,9,8,8,9,9,9,
inicial del dividendo demográfico,,,,4,4,4,3,4,3,3,5,4,4,4,4,3,3,3,3,4,3,3,2,3,3,4,4,4,,,,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,
Asia oriental y el Pacífico,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,,,,,4,4,4,4,4,4,4,4,4,4,4,4,5,6,7,8,8,8,8,8,7,7,7,6,6,7,6,7,
Europa y Asia central (excluido altos ingresos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,5,5,
Europa y Asia central,,,8,7,8,9,9,8,9,9,9,7,6,6,7,5,6,5,5,5,6,5,4,5,5,5,4,4,4,5,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,
Ecuador,,,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,,2,2,3,2,3,10,4,2,,,3,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,
"Egipto, República Árabe de",,,,,,2,3,2,3,3,3,4,3,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,,,,,,,3,3,3,3,3,3,2,3,3,3,4,3,4,4,8,4,4,6,5,5,4,3,3,4,5,5,
Zona del Euro,,,9,7,9,9,9,9,10,9,9,7,6,7,7,6,6,6,5,5,6,5,4,5,5,5,4,4,4,5,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,4,5,4,3,4,4,4,4,4,3,3,4,4,3,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
España,,,6,5,6,7,8,6,8,8,9,8,7,7,8,7,6,6,6,6,6,5,5,5,6,6,5,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,3,,,4,,4,4,3,4,4,4,3
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,4,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,,2
Etiopía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Unión Europea,,,9,7,8,9,9,9,9,9,9,7,6,6,7,5,6,5,5,5,5,5,4,5,5,5,4,4,4,5,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,
Frágiles y situaciones de conflicto afectados,,,,1,,,,,,,,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,2,1,1,1,2,,,2,,,,,,
Finlandia,,,,4,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,5,5,4,5,5,6,6,6,5,6,5,5,6,5,5,6,7,6,9,10,7,5,8,8,7,6,7,5,5,5,5,5,6
Fiji,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Francia,,,7,7,7,8,9,7,8,8,8,6,6,6,7,5,5,5,5,5,5,4,4,4,4,4,4,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,
Islas Feroe,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Micronesia (Estados Federados de),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,3,2,3,3,1,,,,,,,
Gabón,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,2,1,1,1,1,1,1,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,
Reino Unido,,,9,9,10,11,11,10,11,12,11,9,7,7,7,6,6,6,5,6,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,3,3,2,3,3,3,4
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,4,4,5,6,7,
Ghana,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,1,0,1,1,,,,,,,,4,,,,3,2,1,1,3,3,4,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,,0,0,0,0,0,,,,,0,0,0,0,,,,
Gambia,,,,,0,,,,,,0,0,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,,,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,9,1,18,2,1,2
