"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"1",18,"Masculino","Ingeniería mecánica","Segundo",2.5,1,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","Nunca","Casi nunca","Buena","No","No","Si",75,1.66,15,6,"Sí","No","No","No","No","No"
"2",23,"Otro","Ingeniería química","Quinto",1.05,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Nunca","Muy mala","Tal vez","Nada saludable","A veces","A veces","Muy mala","Sí","Sí","A veces",80,1.56,40,6,"Sí","No","No","No","No","No"
"3",18,"Femenino","Ciencia de la computación","Tercero",1.5,0.5,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Bebidas energizantes","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","A veces","Buena","No","Sí","A veces",69.2,1.69,30,6,"Sí","No","No","No","No","Sí"
"4",17,"Femenino","Ingeniería industrial","Segundo",3,0.5,"Ni mucha ni poca","Casi nunca","Casi nunca","Casi nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Tal vez","Saludable","A veces","Casi siempre","Ni buena ni mala","Sí","Sí","A veces",58,1.59,22,6,"Sí","No","No","No","No","Sí"
"5",18,"Femenino","Ingeniería industrial","Segundo",3,1,"Ni mucha ni poca","A veces","Casi nunca","Casi siempre","Nunca","Bebidas energizantes","Refrescos o jugos","Tal vez","Casi siempre","Buena","Tal vez","Saludable","Casi nunca","Casi siempre","Buena","No","Sí","A veces",58,1.58,38,6,"Sí","Sí","Sí","No","No","Sí"
"6",18,"Masculino","Administración y negocios digitales","Tercero",3,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","A veces","Mala","Tal vez","Saludable","Casi siempre","A veces","Ni buena ni mala","Sí","Sí","A veces",67,1.73,18,5,"Sí","No","No","Sí","No","No"
"7",18,"Femenino","Ingeniería química","Cuarto",4,2,"Demasiada","Siempre","Casi nunca","Nunca","Siempre","Agua","Bebidas energizantes","Sí","Casi siempre","Buena","Si","Medianamente saludable","A veces","A veces","Buena","Sí","Sí","Si",45,1.63,34,7,"Sí","No","No","Sí","No","No"
"8",17,"Masculino","Ingeniería civil","Segundo",2,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi nunca","Muy mala","Si","Poco saludable","Casi nunca","Casi nunca","Ni buena ni mala","Sí","Sí","Si",58,1.69,50,6,"Sí","No","No","No","No","Sí"
"9",19,"Masculino","Ingeniería industrial","Segundo",2,1,"Ni mucha ni poca","Casi nunca","Casi nunca","Casi nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","Casi nunca","Buena","No","No","A veces",60,1.6,50,6,"Sí","No","No","No","No","Sí"
"10",19,"Femenino","Ingeniería industrial","Segundo",3,3,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","No","A veces",50,1.53,21,6,"Sí","No","No","No","No","No"
"11",18,"Masculino","Ingeniería mecatrónica","Segundo",2.5,1.5,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Casi nunca","Agua","Agua","Sí","Siempre","Muy buena","Si","Muy saludable","Nunca","Casi nunca","Muy buena","No","No","No",63,1.67,26,5,"Sí","No","No","No","No","Sí"
"12",18,"Femenino","Ingeniería industrial","Tercero",1,0.5,"Poca","A veces","Nunca","Nunca","Casi nunca","Agua","Bebidas energizantes","Tal vez","Casi siempre","Muy mala","Si","Medianamente saludable","Casi siempre","Siempre","Ni buena ni mala","Sí","Sí","Si",58.9,1.65,15,5,"Sí","No","No","Sí","No","No"
"13",19,"Masculino","Ingeniería civil","Décimo",2,1,"Muy poca","Casi nunca","Casi nunca","Nunca","Nunca","Gaseosas","Agua","Tal vez","Casi nunca","Buena","Tal vez","Poco saludable","Casi nunca","Casi siempre","Ni buena ni mala","No","Sí","A veces",57,1.76,35,6,"Sí","No","Sí","Sí","No","No"
"14",18,"Femenino","Bioingeniería","Tercero",2,1,"Mucha","Siempre","Nunca","Casi nunca","Nunca","Bebidas energizantes","Bebidas energizantes","Sí","A veces","Buena","Si","Muy saludable","Casi siempre","Casi nunca","Muy buena","No","No","Si",55,1.64,10,5,"Sí","No","No","No","No","No"
"15",21,"Femenino","Ingeniería industrial","Cuarto",2,1.5,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Casi nunca","Agua","Agua","Tal vez","Casi siempre","Buena","Si","Saludable","Nunca","Casi nunca","Buena","No","No","No",51,1.57,23,6,"Sí","No","Sí","No","No","Sí"
"16",18,"Otro","Ciencia de la computación","Cuarto",1,1,"Ni mucha ni poca","Casi siempre","Casi nunca","Nunca","Casi nunca","Agua","Agua","Tal vez","Siempre","Muy buena","Tal vez","Saludable","A veces","A veces","Ni buena ni mala","No","No","A veces",66,1.67,21,7,"Sí","No","No","Sí","No","Sí"
"17",18,"Femenino","Bioingeniería","Tercero",1.5,1,"Mucha","Casi siempre","A veces","A veces","Casi nunca","Agua","Bebidas energizantes","Tal vez","Casi nunca","Mala","No","Medianamente saludable","A veces","Siempre","Ni buena ni mala","Sí","Sí","A veces",70,1.7,18,5,"Sí","No","Sí","Sí","No","No"
"18",23,"Masculino","Ingeniería industrial","Noveno",3,1,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Saludable","Nunca","Nunca","Buena","No","No","Si",69,1.69,14,4,"Sí","No","No","Sí","No","No"
"19",19,"Masculino","Ingeniería mecatrónica","Segundo",4,0.5,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","No","Casi siempre","Buena","Si","Saludable","Nunca","Casi nunca","Mala","No","No","Si",69,1.7,34,6,"Sí","No","No","No","No","Sí"
"20",19,"Femenino","Ingeniería industrial","Segundo",3,3,"Mucha","Siempre","A veces","Casi nunca","Casi siempre","Agua","Agua","Sí","Siempre","Muy buena","Si","Saludable","Casi nunca","Casi nunca","Buena","No","Sí","Si",68,1.57,16,6,"Sí","No","No","No","No","No"
"21",18,"Masculino","Ingeniería industrial","Segundo",5,1,"Mucha","Siempre","Nunca","Nunca","Nunca","Agua","Agua","No","Siempre","Muy buena","Si","Muy saludable","A veces","A veces","Muy buena","Sí","Sí","Si",104,1.8,24,6,"Sí","No","No","No","No","No"
"22",18,"Masculino","Ingeniería industrial","Tercero",1.5,0.7,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Buena","Tal vez","Saludable","Nunca","A veces","Buena","No","No","Si",58,1.68,25,5,"Sí","No","No","No","No","No"
"23",19,"Femenino","Ingeniería industrial","Cuarto",2,1,"Demasiada","Siempre","Nunca","Nunca","A veces","Agua","Agua","Sí","A veces","Buena","Si","Muy saludable","Casi siempre","Casi nunca","Muy buena","No","Sí","Si",55,1.58,22,6,"Sí","No","No","No","No","No"
"24",21,"Masculino","Ingeniería civil","Sexto",2,1,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","No","Casi siempre","Buena","Si","Medianamente saludable","Nunca","Nunca","Buena","No","Sí","Si",82,1.7,40,6,"Sí","No","No","No","No","No"
"25",20,"Masculino","Ciencia de la computación","Segundo",5,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Tal vez","Saludable","A veces","A veces","Ni buena ni mala","No","No","A veces",66,1.66,30,6,"Sí","No","No","No","No","No"
"26",19,"Femenino","Ingeniería civil","Cuarto",1,0.5,"Muy poca","Casi nunca","Casi nunca","Nunca","Nunca","Bebidas energizantes","Bebidas energizantes","No","Casi siempre","Muy mala","Tal vez","Medianamente saludable","Casi nunca","Casi siempre","Ni buena ni mala","No","No","No",60,1.55,30,6,"Sí","Sí","Sí","No","No","No"
"27",20,"Femenino","Ingeniería civil","Cuarto",1,0.5,"Mucha","Casi siempre","Casi nunca","Nunca","A veces","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","A veces","A veces","Mala","Sí","Sí","A veces",75,1.7,26,7,"Sí","No","No","No","No","Sí"
"28",22,"Masculino","Ingeniería industrial","Décimo",2,1,"Mucha","Casi siempre","Casi nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Siempre","Siempre","Ni buena ni mala","Sí","Sí","Si",85,1.74,19,3,"Sí","No","No","No","No","Sí"
"29",18,"Femenino","Bioingeniería","Tercero",0.5,0.1,"Muy poca","Casi nunca","Casi nunca","A veces","Nunca","Agua","Bebidas energizantes","No","A veces","Ni buena ni mala","Tal vez","Medianamente saludable","A veces","A veces","Muy mala","Sí","Sí","A veces",57,1.65,18,5,"Sí","No","Sí","No","No","No"
"30",18,"Masculino","Bioingeniería","Tercero",1,0.5,"Ni mucha ni poca","A veces","Casi siempre","A veces","Nunca","Gaseosas","Gaseosas","Sí","Casi siempre","Buena","Si","Nada saludable","Casi siempre","Casi siempre","Buena","No","Sí","No",71,1.65,18,6,"Sí","No","Sí","No","No","No"
"31",18,"Femenino","Bioingeniería","Tercero",3,1.5,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Poco saludable","A veces","Siempre","Mala","Sí","No","A veces",60,1.55,20,5,"Sí","No","No","Sí","No","Sí"
"32",18,"Masculino","Ingeniería industrial","Tercero",5,2.5,"Ni mucha ni poca","Casi nunca","Nunca","Casi nunca","Nunca","Agua","Bebidas energizantes","Sí","Casi siempre","Ni buena ni mala","Si","Saludable","Casi nunca","A veces","Ni buena ni mala","No","No","Si",76,1.76,35,5,"Sí","No","No","No","No","No"
"33",19,"Femenino","Bioingeniería","Segundo",4,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Saludable","A veces","Casi nunca","Buena","Sí","Sí","Si",65.6,1.67,36,7,"Sí","No","No","No","No","Sí"
"34",20,"Masculino","Ciencia de la computación","Segundo",4,1,"Mucha","Casi siempre","A veces","A veces","Nunca","Agua","Gaseosas","No","A veces","Ni buena ni mala","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","Sí","Si",60,1.65,38,7,"Sí","Sí","No","No","No","Sí"
"35",18,"Femenino","Ingeniería industrial","Segundo",0.75,0.5,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","A veces","Agua","Agua","Sí","A veces","Buena","Si","Medianamente saludable","Nunca","Casi nunca","Ni buena ni mala","No","Sí","No",53,1.59,23,6,"Sí","No","No","Sí","No","No"
"36",19,"Femenino","Ingeniería industrial","Segundo",3,0.5,"Ni mucha ni poca","Casi siempre","Nunca","Casi nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Mala","Tal vez","Medianamente saludable","A veces","Casi nunca","Buena","No","Sí","Si",66,1.63,10,6,"Sí","No","No","No","No","No"
"37",19,"Femenino","Ingeniería industrial","Segundo",0.5,0.5,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Nunca","Infusiones","Agua","Sí","Casi siempre","Buena","Tal vez","Poco saludable","Nunca","A veces","Ni buena ni mala","No","Sí","A veces",54,1.54,35,6,"Sí","No","Sí","No","No","No"
"38",20,"Femenino","Ingeniería mecánica","Tercero",3,0.5,"Muy poca","Nunca","Nunca","Casi siempre","Nunca","Refrescos o jugos","Bebidas energizantes","Sí","Casi nunca","Buena","No","Medianamente saludable","Nunca","Nunca","Ni buena ni mala","No","Sí","No",55,1.53,10,5,"Sí","No","No","No","No","No"
"39",19,"Femenino","Bioingeniería","Primero",2,0.5,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Casi nunca","Refrescos o jugos","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Nunca","Casi nunca","Buena","No","No","Si",63.7,1.59,20,7,"Sí","No","No","Sí","No","Sí"
"40",18,"Femenino","Ciencia de la computación","Segundo",2,1,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","A veces","Buena","Sí","Sí","No",64,1.55,28,6,"Sí","No","No","Sí","No","Sí"
"41",18,"Femenino","Ingeniería mecatrónica","Tercero",0.5,0.5,"Poca","Casi nunca","Nunca","A veces","Casi nunca","Agua","Otro","Sí","A veces","Ni buena ni mala","Tal vez","Poco saludable","A veces","A veces","Mala","Sí","Sí","A veces",61,1.55,25,6,"Sí","Sí","No","No","No","Sí"
"42",18,"Femenino","Bioingeniería","Tercero",2.5,1.5,"Mucha","Siempre","Nunca","Casi siempre","Nunca","Bebidas energizantes","Bebidas energizantes","Sí","A veces","Ni buena ni mala","Si","Saludable","Casi nunca","Casi siempre","Mala","Sí","Sí","Si",68.6,1.66,16,5,"Sí","Sí","No","No","No","No"
"43",19,"Masculino","Ciencia de la computación","Tercero",4,1,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Muy saludable","Nunca","A veces","Mala","No","Sí","Si",70,1.8,25,6,"Sí","No","No","Sí","No","No"
"44",17,"Femenino","Ingeniería civil","Segundo",2,1,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","No","Siempre","Muy buena","Si","Medianamente saludable","Casi nunca","A veces","Muy buena","No","No","Si",50,1.67,40,5,"Sí","No","No","No","No","No"
"45",20,"Masculino","Ingeniería mecánica","Segundo",3,1.5,"Muy poca","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Mala","No","Muy saludable","Casi nunca","Casi nunca","Buena","No","No","A veces",72,1.75,11,7,"Sí","No","No","No","No","No"
"46",21,"Masculino","Ciencia de la computación","Cuarto",3,0.5,"Mucha","Siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Poco saludable","Casi siempre","Casi siempre","Ni buena ni mala","No","Sí","No",82,1.67,32,5,"Sí","No","No","No","No","No"
"47",20,"Masculino","Ingeniería mecatrónica","Segundo",3,3,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Buena","Si","Saludable","Casi nunca","Casi nunca","Mala","Sí","Sí","Si",80,1.79,19,6,"Sí","No","No","No","No","Sí"
"48",18,"Masculino","Ciencia de la computación","Segundo",1,0.6,"Poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Ni buena ni mala","Tal vez","Medianamente saludable","Nunca","A veces","Buena","No","No","A veces",68,1.78,35,6,"Sí","No","No","No","No","No"
"49",18,"Masculino","Ingeniería mecánica","Segundo",2,0.75,"Muy poca","A veces","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Muy saludable","Nunca","A veces","Muy buena","Sí","Sí","No",70,1.77,35,6,"Sí","No","No","Sí","No","Sí"
"50",19,"Masculino","Ingeniería mecánica","Segundo",2.5,0.5,"Muy poca","Nunca","Nunca","A veces","Nunca","Bebidas energizantes","Bebidas energizantes","Tal vez","A veces","Ni buena ni mala","Tal vez","Saludable","A veces","A veces","Ni buena ni mala","No","No","A veces",81,1.89,39,7,"Sí","Sí","Sí","No","No","Sí"
"51",18,"Masculino","Ciencia de la computación","Tercero",2,1,"Poca","A veces","Nunca","Nunca","Nunca","Agua","Otro","Tal vez","A veces","Ni buena ni mala","Tal vez","Saludable","Nunca","Nunca","Ni buena ni mala","No","No","No",63,1.7,30,6,"Sí","No","No","Sí","No","Sí"
"52",24,"Femenino","Ingeniería industrial","Segundo",2.5,1,"Ni mucha ni poca","A veces","Casi siempre","Casi siempre","Nunca","Gaseosas","Otro","Tal vez","Casi siempre","Muy buena","Si","Medianamente saludable","Casi nunca","A veces","Ni buena ni mala","Sí","Sí","A veces",50.3,1.53,43,6,"Sí","Sí","Sí","No","No","No"
"53",17,"Masculino","Ingeniería civil","Segundo",1.5,0.5,"Poca","Casi nunca","Nunca","Casi nunca","Nunca","Bebidas energizantes","Bebidas energizantes","No","Casi siempre","Ni buena ni mala","Tal vez","Medianamente saludable","Nunca","Casi nunca","Buena","No","Sí","A veces",56,1.58,18,6,"Sí","No","No","No","No","No"
"54",19,"Masculino","Ingeniería industrial","Cuarto",3,3,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","No","No","Si",70,1.72,40,6,"Sí","No","No","No","No","Sí"
"55",20,"Masculino","Ingeniería civil","Segundo",1,0.2,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","No","A veces","Ni buena ni mala","No","Medianamente saludable","Casi nunca","Casi nunca","Ni buena ni mala","Sí","Sí","Si",75,1.7,15,6,"Sí","No","No","No","No","No"
"56",24,"Masculino","Ingeniería mecatrónica","Quinto",1,0.4,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Nunca","Casi siempre","Muy buena","No","Sí","Si",78.6,1.75,26,5,"Sí","No","No","No","No","Sí"
"57",19,"Masculino","Ingeniería civil","Segundo",4,0.5,"Demasiada","A veces","Casi nunca","Siempre","Nunca","Bebidas energizantes","Bebidas energizantes","No","Casi nunca","Mala","Si","Medianamente saludable","A veces","A veces","Mala","Sí","Sí","A veces",68,1.71,50,6,"Sí","Sí","Sí","No","Sí","No"
"58",19,"Masculino","Ingeniería industrial","Cuarto",3,0.5,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Gaseosas","Agua","Sí","A veces","Mala","Si","Muy saludable","Nunca","Nunca","Muy buena","Sí","Sí","Si",80,1.75,33,6,"Sí","No","Sí","No","No","Sí"
"59",18,"Masculino","Ingeniería mecánica","Segundo",2,1,"Poca","Siempre","Casi nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Mala","Si","Muy saludable","Nunca","Casi nunca","Buena","No","Sí","Si",67,1.75,30,5,"Sí","No","Sí","No","No","Sí"
"60",18,"Masculino","Ciencia de la computación","Tercero",4,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi nunca","Ni buena ni mala","Si","Saludable","Nunca","Casi nunca","Ni buena ni mala","No","Sí","Si",66,1.75,27,6,"Sí","Sí","No","Sí","No","Sí"
"61",17,"Masculino","Ciencia de la computación","Primero",2,1,"Ni mucha ni poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Muy buena","Si","Saludable","Nunca","Casi nunca","Muy buena","No","No","Si",62,1.69,35,6,"Sí","No","No","No","No","Sí"
"62",17,"Femenino","Ingeniería mecánica","Tercero",2,0.5,"Mucha","Siempre","Casi nunca","Nunca","Casi nunca","Agua","Bebidas energizantes","Sí","A veces","Mala","Tal vez","Saludable","A veces","A veces","Ni buena ni mala","No","Sí","Si",52,1.55,25,6,"Sí","No","No","No","Sí","Sí"
"63",23,"Femenino","Ciencia de la computación","Cuarto",2,1,"Ni mucha ni poca","Siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Mala","Tal vez","Medianamente saludable","Nunca","A veces","Buena","No","Sí","Si",75,1.65,50,5,"Sí","No","No","No","No","Sí"
"64",21,"Masculino","Ciencia de la computación","Tercero",3,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","No","A veces","Ni buena ni mala","No","Medianamente saludable","Siempre","Casi nunca","Ni buena ni mala","Sí","Sí","No",57,1.7,20,6,"Sí","No","No","No","No","No"
"65",21,"Masculino","Ingeniería de la energía","Sexto",2,1,"Poca","A veces","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","Siempre","Buena","Si","Medianamente saludable","A veces","A veces","Ni buena ni mala","Sí","Sí","No",53,1.58,59,6,"Sí","No","No","Sí","No","No"
"66",19,"Femenino","Ciencia de datos","Cuarto",2,1,"Demasiada","Siempre","A veces","Nunca","A veces","Gaseosas","Agua","Sí","Casi siempre","Muy buena","Si","Saludable","Casi nunca","A veces","Muy buena","Sí","Sí","Si",51,1.6,35,7,"Sí","No","Sí","No","No","Sí"
"67",18,"Femenino","Ciencia de la computación","Segundo",2,2,"Ni mucha ni poca","Casi siempre","Nunca","Nunca","Casi nunca","Agua","Agua","Sí","Casi siempre","Muy buena","Si","Medianamente saludable","Casi nunca","A veces","Mala","Sí","Sí","A veces",48,1.54,24,6,"Sí","No","No","No","No","Sí"
"68",18,"Femenino","Ingeniería civil","Segundo",3,0.5,"Ni mucha ni poca","Casi siempre","Nunca","A veces","Casi nunca","Bebidas energizantes","Agua","Tal vez","A veces","Ni buena ni mala","Si","Medianamente saludable","A veces","Casi siempre","Ni buena ni mala","Sí","Sí","A veces",84,1.72,24,6,"Sí","No","No","No","No","No"
"69",23,"Masculino","Ingeniería civil","Quinto",1,0.5,"Mucha","A veces","Casi siempre","Casi siempre","Casi siempre","Refrescos o jugos","Gaseosas","Sí","A veces","Buena","Si","Medianamente saludable","Casi siempre","Casi siempre","Buena","Sí","Sí","Si",65,1.76,12,7,"Sí","No","Sí","No","No","Sí"
