"","Edad","Género","Carrera","Ciclo","Litros_por_dia","Litros_clase","Sed_clase","Agua_clase","Gaseosas_clase","Bebidas_energeticas_clase","Infusiones_clase","Cansado_tipo_liquido","Liquido_mejora_rendimiento","Rendimiento_hidratado","Concentracion_clase","Memoria","Deshidratacion_efectos","Salud_fisica","Migrañas","Fatiga","Salud_mental","Ansiedad","Estres","CF_no_ingesta_liquido","Peso","Estatura","Horas_en_universidad","Cantidad_cursos","Agua","Bebidas energizantes","Gaseosas","Infusiones","Otro","Refrescos o jugos"
"99",18,"Masculino","Ingeniería mecatrónica","Tercero",3,1,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Muy saludable","Casi nunca","Casi nunca","Buena","No","Sí","No",70,1.73,30,6,"Sí","Sí","No","Sí","No","Sí"
"100",19,"Femenino","Bioingeniería","Cuarto",2,1,"Ni mucha ni poca","A veces","Casi nunca","Nunca","Casi nunca","Agua","Agua","Tal vez","A veces","Ni buena ni mala","Si","Medianamente saludable","Casi siempre","Casi siempre","Buena","No","Sí","A veces",54,1.54,40,6,"Sí","No","Sí","No","No","Sí"
"101",22,"Masculino","Ingeniería mecatrónica","Cuarto",3,1.5,"Poca","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Ni buena ni mala","Si","Muy saludable","Casi nunca","Casi nunca","Buena","No","Sí","No",65,1.7,46,5,"Sí","No","No","No","No","No"
"102",17,"Masculino","Ciencia de datos","Tercero",1,0.25,"Poca","Casi nunca","A veces","Nunca","Casi nunca","Agua","Otro","Sí","Casi siempre","Buena","Tal vez","Medianamente saludable","Casi nunca","A veces","Mala","Sí","Sí","A veces",60,1.68,20,5,"Sí","No","No","No","No","Sí"
"103",17,"Masculino","Ingeniería electrónica","Primero",3,1,"Mucha","A veces","Nunca","Nunca","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Muy saludable","Casi nunca","Casi nunca","Ni buena ni mala","Sí","Sí","Si",51,1.63,59,7,"Sí","No","No","No","No","No"
"104",17,"Femenino","Bioingeniería","Primero",2,2,"Mucha","Casi nunca","Nunca","Casi siempre","A veces","Agua","Bebidas energizantes","Tal vez","Casi nunca","Ni buena ni mala","Tal vez","Medianamente saludable","Siempre","Siempre","Muy mala","Sí","Sí","Si",54,1.62,59,7,"Sí","Sí","No","Sí","No","No"
"105",17,"Femenino","Bioingeniería","Primero",1.5,1,"Ni mucha ni poca","Casi nunca","Casi nunca","Casi nunca","Nunca","Bebidas energizantes","Agua","Sí","A veces","Mala","Si","Medianamente saludable","Casi nunca","Casi siempre","Ni buena ni mala","No","Sí","No",52,1.5,40,7,"Sí","Sí","Sí","No","No","No"
"106",17,"Femenino","Ingeniería de la energía","Primero",2,2,"Mucha","A veces","Nunca","Nunca","Nunca","Agua","Bebidas energizantes","Sí","A veces","Muy mala","Si","Nada saludable","A veces","Casi siempre","Buena","Sí","Sí","Si",64,1.54,59,7,"Sí","Sí","No","No","No","No"
"107",18,"Femenino","Ingeniería mecatrónica","Tercero",1,0.2,"Poca","A veces","Nunca","Casi nunca","Casi nunca","Agua","Bebidas energizantes","No","A veces","Ni buena ni mala","Si","Medianamente saludable","Casi siempre","A veces","Ni buena ni mala","No","Sí","Si",63,1.58,20,5,"Sí","No","No","Sí","No","Sí"
"108",19,"Femenino","Ingeniería industrial","Segundo",1,1,"Ni mucha ni poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","No","Siempre","Buena","Si","Saludable","Casi nunca","Casi nunca","Buena","No","No","Si",65,1.68,37,6,"Sí","No","No","No","No","Sí"
"109",18,"Femenino","Ingeniería mecánica","Tercero",1.5,0.3,"Muy poca","Casi nunca","Nunca","Nunca","Nunca","Agua","Agua","Tal vez","Casi siempre","Ni buena ni mala","Tal vez","Medianamente saludable","Nunca","Casi siempre","Ni buena ni mala","Sí","Sí","A veces",56,1.52,35,7,"Sí","No","No","No","No","Sí"
"110",20,"Masculino","Bioingeniería","Tercero",2,0.5,"Ni mucha ni poca","A veces","Nunca","Casi nunca","Nunca","Bebidas energizantes","Agua","Tal vez","A veces","Muy mala","Si","Medianamente saludable","Casi nunca","Siempre","Muy mala","Sí","Sí","A veces",78,1.71,17,6,"Sí","Sí","Sí","No","No","Sí"
"111",18,"Masculino","Ingeniería mecánica","Octavo",3,1,"Poca","A veces","Casi nunca","A veces","Nunca","Agua","Agua","Sí","Casi siempre","Buena","Si","Saludable","Casi nunca","A veces","Buena","No","No","A veces",70,1.7,30,5,"Sí","Sí","Sí","No","No","No"
"112",17,"Femenino","Bioingeniería","Tercero",1.5,1,"Mucha","Casi siempre","Nunca","Nunca","Nunca","Agua","Agua","Sí","A veces","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","Siempre","Mala","Sí","Sí","A veces",52,1.56,22,5,"Sí","No","No","No","No","Sí"
"113",18,"Masculino","Ingeniería mecánica","Primero",5,5,"Ni mucha ni poca","A veces","A veces","Nunca","Nunca","Refrescos o jugos","Agua","Sí","Casi siempre","Buena","Si","Medianamente saludable","A veces","Casi nunca","Ni buena ni mala","No","No","Si",78,1.78,20,7,"Sí","No","Sí","Sí","No","Sí"
"114",18,"Femenino","Administración y negocios digitales","Primero",2,0.5,"Mucha","Casi nunca","Nunca","Nunca","Nunca","Refrescos o jugos","Refrescos o jugos","Sí","Casi siempre","Ni buena ni mala","Si","Medianamente saludable","Casi nunca","Casi siempre","Ni buena ni mala","No","Sí","Si",59,1.55,45,7,"Sí","No","No","Sí","No","Sí"
