Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
903220,"""Manostatos """"presostatos"""" (exc. artículos y órganos de la partida 8481)""",7,15,8,11,13,19,15,17,13,39,52,82,31,46,55,77,55,85,73,166
590320,Telas impregnadas; recubiertas; revestidas o estratificadas con poliuretano (exc. revestimientas ...,219,66,79,73,46,89,65,51,88,133,52,153,524,475,253,263,186,184,94,166
843069,Máquinas y aparatos para explanar; no autopropulsados; n.c.o.p.,152,54,119,84,55,170,191,186,13,219,114,146,165,811,362,228,304,316,158,166
721250,Productos planos de hierro o acero sin alear; de anchura < 600 mm; laminados en frío o en caliente; ...,40,58,66,57,73,51,284,66,167,236,389,280,347,179,82,291,612,449,176,165
850410,"""Balastos """"reactancias"""" para lámparas o tubos de descarga""",1017,981,1199,1219,1613,1939,1753,1350,1665,1702,1534,1466,1309,1254,1095,804,511,270,106,165
761300,Recipientes para gas comprimido o licuado; de aluminio,17,85,42,98,184,39,57,139,33,73,195,111,118,144,313,127,190,144,220,164
740710,Barras y perfiles; de cobre refinado; n.c.o.p.,63,79,68,35,144,141,212,179,130,117,149,47,95,146,54,71,132,112,49,164
560210,Fieltro punzonado y productos obtenidos mediante costura por cadeneta; incl. impregnado; recubierto; ...,6,9,19,35,9,137,142,184,270,278,282,326,233,219,120,66,103,176,60,163
870919,Carretillas automóvil sin dispositivo de elevación de los tipos utilizados para transporte ...,164,154,93,144,84,359,495,133,282,294,131,71,73,90,519,187,571,59,103,163
590699,Telas cauchutadas; n.c.o.p. (exc. telas de punto; de punto y cintas adhesivas de anchura <= ...,79,144,107,90,160,169,125,93,104,57,68,120,105,268,116,9,33,12,4,163
901310,"""Miras telescópicas para armas; periscopios; visores para máquinas; instrumentos o aparatos ...",3,4,7,6,9,27,24,2,10,10,6,8,6,280,12,6,28,12,2,163
391610,Monofilamentos cuya mayor dimensión del corte transversal sea > 1 mm; barras; varillas y perfiles; ...,20,46,32,2,8,17,14,66,40,42,23,18,65,134,75,157,74,144,94,162
030752,"""Pulpo """"Octopus spp.""""; Congelado""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,70,39,162
610120,"""Abrigos; chaquetones; capas; anoraks; cazadoras y artículos simil.; de punto de algodón; para ...",23,30,8,23,16,20,18,25,5,8,12,22,44,58,88,42,171,233,142,162
284290,"""Sales de los ácidos o peroxoácidos inorgánicos (exc. de los ácidos oxometálicos o peroxometálicos; ...",55,50,10,33,255,39,7,50,29,1,13,28,10,42,3,20,29,19,40,162
081110,"""Fresas """"frutillas""""; sin cocer o cocidas en agua o vapor; congeladas; con adición de azúcar ...",24,16,17,26,32,51,35,50,56,53,58,54,36,43,35,32,46,66,60,162
722820,Barras de acero silico-manganoso,83,78,39,138,1,114,118,156,183,368,341,363,112,225,212,320,201,288,126,162
401011,Correas transportadoras; de caucho vulcanizado; reforzadas solamente con metal,25,55,61,35,95,39,59,65,224,166,43,20,40,194,120,408,147,281,51,162
580410,Tules; tules-bobinot y tejidos de mallas anudadas,155,175,224,121,237,384,294,265,316,261,155,240,198,249,298,248,131,152,59,161
902990,Partes y accesorios de cuentarrevoluciones; contadores de producción; taxímetros; cuentakilómetros; ...,3,2,6,4,16,24,21,21,23,85,65,71,56,56,64,46,59,93,57,161
110900,Gluten de trigo; incluso seco,0,0,0,0,1,3,7,101,19,13,27,26,21,40,25,84,87,68,54,161
721922,Productos laminados planos de acero inoxidable; de anchura >= 600 mm; simplemente laminados ...,43,16,43,28,25,127,68,93,21,142,181,522,239,213,229,420,571,405,95,161
291811,Ácido láctico; sus sales y sus ésteres (exc. compuestos inorgánicos u orgánicos de mercurio),87,272,228,249,349,480,447,553,521,507,407,526,664,650,678,597,1068,903,424,161
870520,Camiones automóviles de sondeo o perforación,0,20,285,66,60,59,720,13,99,15,27,0,42,27,131,900,74,84,22,160
480262,Papeles y cartones; sin estucar ni recubrir; de los tipos utilizados para escribir; imprimir ...,0,62,56,2,3,23,113,0,1,27,46,30,14,15,4,2,159,162,67,160
090121,Café tostado sin descafeinar,58,40,61,82,95,65,108,103,125,153,132,148,148,164,102,135,167,105,65,160
845640,Máquinas herramienta para trabajar materiales por remoción de material; operados por chorro ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,83,31,160
294150,Eritromicina y sus derivados; sales de estos productos,144,11,12,38,48,57,180,38,62,107,182,163,88,76,166,73,215,150,80,159
293349,"""Compuestos heterocíclicos con heteroátomo/s de nitrógeno exclusivamente; cuya estructura contenga ...",0,1,10,12,4,9,11,20,30,46,128,57,77,104,48,86,90,137,194,159
850750,De níquel-metal hidruro de acumuladores (excepto inservibles),0,0,0,0,0,0,0,0,0,0,19,25,9,28,24,23,20,113,120,159
690390,"""Retortas; crisoles; muflas; toberas; tapones; soportes; copelas; tubos; fundas; varillas y ...",79,70,64,75,348,58,111,21,70,143,87,77,83,129,73,138,68,75,102,159
401033,Correas de transmisión; sin fin; estriadas; de sección trapezoidal; de circunferencia exterior ...,0,5,9,33,23,64,77,71,113,90,75,76,58,66,108,174,189,159,128,158
850240,Convertidores rotativos eléctricos,181,312,600,263,74,328,870,141,190,128,78,90,61,119,160,217,96,101,62,158
293220,Lactonas,0,0,0,0,0,0,0,0,0,0,45,35,34,50,23,70,79,116,152,158
854239,Circuitos electrónicos integrados (exc. como procesadores; controladores; memórias y ampli ...,0,0,0,0,0,774,515,229,260,1031,538,648,819,687,373,346,223,304,166,158
441400,Marcos de madera para cuadros; fotografías; espejos u objetos similares,60,93,78,123,129,251,210,105,101,128,105,111,94,141,60,67,210,120,50,158
611521,"""Calzas; """"panty-medias"""" y leotardos; de punto; de fibras sintéticas; de título < 67 decitex ...",0,0,0,0,0,136,109,92,292,371,347,312,288,292,459,287,327,290,111,157
080550,"""Limones """"Citrus limon; Citrus limonum"""" y limas """"Citrus aurantifolia; Citrus latifolia""""; ...",0,0,0,1,0,0,1,9,28,1,17,2,3,10,13,0,75,41,44,157
290713,Octilfenol; nonilfenol y sus isómeros; sales de estos productos,56,22,85,135,88,137,322,241,213,247,315,405,231,235,193,186,276,187,214,156
871493,Cubos de rueda libre y ruedas dentadas para los ciclos (excepto para motocicletas y montaña ...,83,72,69,68,83,87,141,217,115,65,102,99,72,101,111,129,105,76,104,156
961380,Encendedores y mecheros (exc. de gas de bolsillo; así como las piedras y mechas),5,46,49,84,17,39,26,25,15,29,30,70,39,51,52,81,68,96,94,155
200820,"""Piñas """"ananás""""; preparadas o conservadas; incl. con adición de azúcar u otro edulcorante ...",454,316,446,495,465,580,178,38,45,303,748,891,823,1042,922,900,53,69,52,155
560741,Cordeles para atar o engavillar; de polietileno o de polipropileno,3,12,42,320,237,441,191,407,331,106,269,482,602,591,705,728,711,121,83,155
853529,Disyuntores; para una tensión >= 72;5 kV,1231,2264,962,2560,2325,3872,3429,1174,696,756,1495,384,174,217,17,37,227,846,174,155
940592,Partes de aparatos de alumbrado; anuncios; letreros y placas indicadoras luminosos y artículos ...,139,182,175,194,173,350,221,91,84,54,190,225,267,340,286,219,202,147,89,155
251200,Harinas silíceas fósiles (por ejemplo: Kieselguhr; tripolita; diatomita) y demás tierras silíceas ...,303,186,99,151,293,241,209,384,357,485,663,478,559,709,824,292,453,64,140,154
284440,Elementos e isótopos y compuestos; radiactivos; así como aleaciones; dispersiones; incl. el ...,0,0,0,0,0,3,0,29,420,5,55,11,11,9,26,66,543,103,49,154
620891,"""Camisetas interiores; bragas """"bombachas; calzones""""; incl. las que no llegan hasta la cintura; ...",61,51,40,98,123,110,113,244,287,342,266,759,190,140,193,190,155,180,58,153
722230,Barras de acero inoxidable; obtenidas o acabadas en frío y trabajadas; o simplemente forjadas ...,38,60,32,17,105,95,126,46,56,34,55,151,66,668,114,56,50,55,142,153
481014,Papel y cartón utilizados para escribir; imprimir u otros fines gráficos; sin fibras obtenidas ...,0,139,211,189,258,551,448,275,301,168,195,234,212,229,215,214,221,251,95,153
731021,Latas o botes; de fundición; hierro o acero; de capacidad < 50 l; para cerrar por soldadura ...,21,23,7,14,27,42,122,140,93,790,1300,1013,1071,675,412,194,86,191,52,153
283525,"""Hidrogenoortofosfato de calcio """"fosfato dicálcico""""""",96,767,436,12,20,0,0,322,0,0,17,109,48,4,76,79,94,75,69,153
