Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
200939,"""Jugo de agrios """"cítricos""""; sin fermentar y sin adición de alcohol; incl. con adición de ...",297,553,1238,327,421,390,10,19,0,0,0,69,0,10,2,2,2,0,0,0
200940,Jugo de piña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200941,"""Jugo de piña """"ananá""""; sin fermentar y sin adición de alcohol; incl. con adición de azúcar ...",0,29,278,0,0,0,1,0,0,0,11,15,10,2,0,0,0,0,0,0
200949,"""Jugo de piña """"ananá""""; sin fermentar y sin adición de alcohol; incl. con adición de azúcar ...",492,1083,415,59,230,17,36,0,0,0,0,2,31,24,0,0,0,0,0,0
200950,Jugo de tomate; sin fermentar y sin adición de alcohol; incl. con adición de azúcar u otro ...,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200961,Jugo de uva; incl. el mosto; sin fermentar y sin adición de alcohol; incl. con adición de azúcar ...,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200971,Jugo de manzana; sin fermentar y sin adición de alcohol; incl. con adición de azúcar u otro ...,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,13,0,0,0
220290,Bebidas no alcohólicas (exc. agua; jugos de frutas u otros frutos o de hortalizas y leche),394,506,503,429,692,5863,690,664,850,1105,930,713,694,780,1980,525,0,0,0,0
291090,"""Epóxidos; epoxialcoholes; epoxifenoles y epoxiéteres; con tres átomos en el ciclo; y sus derivados ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,0
291100,Acetales y hemiacetales; incluso con otras funciones oxigenadas; y sus derivados halogenados; ...,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
291812,Ácido tartárico,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0
291720,Ácidos policarboxílicos ciclánicos; ciclénicos o cicloterpénicos; sus anhídridos; halogenuros; ...,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291732,Ortoftalatos de dioctilo,899,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291733,Ortoftalatos de dinonilo o didecilo,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
291734,Ésteres del ácido ortoftálico (sin dioctilo; dinonilo o Ortoftalatos Didecil),0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
