Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
854441,Conductores eléctricos; para una tensión <= 80 V; provistos de piezas de conexión; n.c.o.p.,6067,6824,8337,11272,16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854451,Conductores eléctricos; para una tensión > 80 V pero <= 1.000 V; provistos de piezas de conexión; ...,2428,1760,3728,5265,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854459,Conductores eléctricos; para una tensión > 80 V pero <= 1.000 V; sin piezas de conexión; n.c.o.p.,5857,10997,19572,21908,48307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850530,Cabezas elevadoras electromagnéticas,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850740,Acumuladores de níquel-hierro (exc. inservibles),1,0,0,0,18,0,0,5,2,17,16,1,2,0,0,0,0,0,0,0
850820,Sierras y tronzadoras; con motor electrico incorporado; de uso manual.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850880,Las demas herramientas electromecanicas; con motor electrico incorporado; de uso manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850890,Partes de herramientas electromecanicas con motor electrico incorp.; u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850910,Aspiradoras; incl. las de materias secas y líquidas; con motor eléctrico incorporado; de uso ...,1161,3230,4003,4554,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850920,"""Enceradoras """"lustradoras"""" de pisos; con motor eléctrico incorporado; de uso doméstico""",604,573,480,506,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850930,Trituradoras de desperdicios de cocina; con motor eléctrico incorporado; de uso doméstico,3,3,37,58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850810,Taladros de todas clases; incluso las perforadoras rotativas; con motor electrico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851993,"""Reproductores de casetes """"tocacasetes""""s; únicamente para la reproducción de sonido (exc. ...",0,5,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
