Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
640351,Calzado con suela y parte superior de cuero natural; que cubra el tobillo (exc. con puntera ...,2013,1863,1632,1114,1581,2061,2429,2089,3051,4152,3238,4177,4610,3922,3594,3432,4378,5489,2643,2639
880310,Hélices y rotores; y sus partes; para aeronaves; n.c.o.p.,5363,6778,10292,10556,13959,13695,11983,6715,9034,11848,11301,13620,14167,18435,16800,7297,6819,8118,6087,2626
842320,Básculas y balanzas de pesada continua sobre transportadores,1598,2070,2263,2209,3912,2574,3279,5222,3560,7992,4224,6357,4032,4475,5585,3576,5711,6544,8408,2626
460219,Artículos de cestería obtenidos directamente en su forma con materia trenzable vegetal (exc. ...,0,0,0,0,0,0,5675,4777,6033,5929,3079,3734,3352,3048,2569,3501,2961,2853,1762,2618
252020,Yeso fraguable; incl. coloreado o con pequeñas cantidades de aceleradores o retardadores,3375,3523,2616,2917,2610,2810,2660,2222,1954,2378,2276,2540,2673,2718,2897,2818,3171,3179,2241,2613
520299,Desperdicios de algodón (exc. desperdicios de hilados e hilachas),2724,1990,3301,2859,2452,1923,1896,2084,7027,8746,3460,2511,2868,2541,1694,3834,3815,3534,3279,2592
730669,Tubos y perfiles huecos; soldados; de sección distinta de la circular; de acero inoxidable ...,0,0,0,0,0,0,3345,7043,1467,1757,1988,3873,1875,2302,2083,3168,3526,2676,1053,2576
845959,Máquinas de fresar de consola; para metal; de control no numérico,953,658,962,1366,2543,3011,1366,709,2093,3281,5142,5034,4958,5603,5111,4696,5602,4648,1930,2569
843621,Incubadoras y criadoras; para la avicultura,6095,5093,6300,9620,4643,6049,10365,4216,10000,9976,6722,8157,10780,12765,7748,8753,13216,7132,4317,2565
030489,Filetes de pescado congelados; nep,0,0,0,0,0,0,0,0,0,0,4575,10375,6574,7026,7760,9131,9278,6693,6058,2559
842091,Cilindros para calandrias y para laminadores (exc. para metal o vidrio),4031,2586,2563,2725,3818,2755,3987,2241,2260,4622,3837,3324,5814,3999,3822,6598,4133,4858,3756,2551
730424,"""Tubos de entubación """"casing"""" o de producción """"tubing""""; sin soldadura; de hierro o acero; ...",0,0,0,0,0,0,653,1364,2023,2168,2445,2348,3469,2000,1625,1341,1270,18715,3920,2544
580421,Encajes en pieza; en tiras o en aplicaciones; fabricados a máquina; de fibras sintéticas o ...,17047,12836,7908,10461,10029,5127,3751,8932,10594,9844,8018,9754,8752,8214,10337,7326,4995,2990,1754,2539
846024,Rectificadoras para el acabado de metal; de control numérico (exc. De la superficie plana; ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533
580410,Tules; tules-bobinot y tejidos de mallas anudadas,2521,3037,6668,4892,4099,3665,2124,2157,2246,3056,3476,3799,3976,4651,5665,5242,5800,5816,3988,2526
120400,Semilla de lino; incluso quebrantada,1245,3171,5642,1592,2663,3164,3694,3523,3135,4338,4300,5066,4704,3945,4107,3662,3738,0,0,2518
670419,Barbas; cejas; pestañas; mechones y artículos análogos; de fibras sintéticas (exc. pelucas ...,1615,706,1329,1220,1707,1873,1915,1967,1647,2028,2228,2216,1563,2847,3608,2819,3610,2959,1929,2515
