Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
010290,Los bovinos vivos (excepto ganado y búfalos),412,0,414,0,0,0,0,0,0,43,131,0,0,0,0,0,0,0,0,0
010310,Porcinos reproductores de raza pura,591,585,991,513,342,120,492,430,2596,1858,1850,2213,2566,861,1085,585,19,0,0,0
010391,Porcinos vivos; de peso < 50 kg (exc. reproductores de raza pura),0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010392,Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura),0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010410,Ovinos vivos,0,0,70,95,23,0,36,0,25,144,0,0,0,0,1736,0,0,179,4,0
010420,Caprinos vivos,119,15,64,2,31,0,46,3,0,13,0,0,0,0,0,0,0,0,0,0
010511,Gallos y gallinas de las especies domésticas; vivos; de peso <= 185 g,1644,481,1171,1412,1182,1309,1531,1767,906,0,0,0,0,0,0,0,0,0,0,0
010512,"""Pavos """"gallipavos"""" de las especies domésticas; vivos; de peso <= 185 g""",413,186,766,747,1021,743,772,704,433,347,0,0,0,0,0,0,0,0,0,0
010599,"""Patos; gansos; pavos """"gallipavos"""" y pintadas de las especies domésticas; vivos; de peso ...",0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
010600,Los demas animales vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010611,Primates vivos,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0
010612,Ballenas vivas; delfines y marsopas (mamíferos del orden Cetáceos); los manatíes y dugongos ...,0,0,0,0,0,0,0,0,28,90,95,0,0,0,0,0,0,0,0,0
010649,Los insectos vivos (abejas excl.),0,0,0,0,0,0,0,0,0,0,0,5,65,0,4,0,0,22,0,0
020210,Canales o medias canales; de bovinos; congeladas,0,0,112,306,0,37,0,0,6,0,0,0,56,60,156,0,118,0,0,0
020410,Canales o medias canales de cordero; frescas o refrigeradas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020421,Canales o medias canales de ovinos; frescas o refrigeradas (exc. corderos),0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0
020311,Canales o medias canales; de porcinos; frescas o refrigeradas,0,0,0,0,0,0,0,0,207,217,78,0,0,0,0,0,0,0,0,0
020312,Piernas; paletas; y sus trozos; sin deshuesar; de porcinos; frescos o refrigerados,32,232,615,807,1369,1287,1307,1315,1420,2203,1106,703,0,0,0,0,0,0,0,0
020319,Carne de porcinos; fresca o refrigerada (exc. canales o medias canales; así como piernas; paletas ...,0,39,483,1349,21,0,0,12,2,4199,11789,11364,13456,11380,9484,141,144,0,0,0
020321,Canales o medias canales de porcinos; congeladas,314,164,0,314,0,131,6973,1057,193,1896,3071,444,4129,615,0,202,0,0,0,0
020711,Gallos y gallinas de especies domésticas; sin trocear; frescos o refrigerados,2,48,1,0,0,0,68,0,45,0,0,0,0,0,0,0,0,0,0,0
020680,Despojos de animales de las especies ovina; caprina; caballar; asnal o mular; comestibles; ...,0,0,0,0,0,101,104,5,0,0,0,0,0,0,0,0,0,0,0,0
020630,Despojos de porcinos; comestibles; frescos o refrigerados,0,0,0,0,11,0,0,65,0,0,0,47,0,0,0,0,0,0,0,0
020622,Hígados de bovinos; comestibles; congelados,1,6,38,24,0,0,0,2,1,0,5,1,0,22,12,0,0,0,2,0
020441,Canales o medias canales; de ovinos; congeladas (exc. corderos),109,0,294,132,107,21,0,2,36,360,144,0,325,4,11,44,251,0,0,0
020450,Carne de caprinos; fresca; refrigerada o congelada,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
020610,Despojos de bovinos; comestibles; frescos o refrigerados,0,0,17,36,2,4,0,22,1,0,0,0,0,0,0,0,0,0,0,0
020860,Carne fresca; refrigerada o congelada y despojos comestibles de camellos y otros camélidos ...,0,0,0,0,0,0,0,0,0,0,261,166,244,142,175,1043,399,0,0,0
020890,"""Carne y despojos comestibles frescos; refrigerados o congelados de palomas; caza; renos y ...",0,86,153,298,544,0,66,80,170,260,0,0,0,0,0,0,0,0,0,0
020900,Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo; frescos; ...,1536,2594,6643,6621,5721,7448,10505,12923,13787,19104,0,0,0,0,0,0,0,0,0,0
020990,Grasa de ave sin fundir ni extraer de otro modo; frescos; refrigerados; congelados; salados ...,0,0,0,0,0,0,0,0,0,0,267,31,0,0,0,0,0,0,0,0
021011,Jamones; paletas; y sus trozos; sin deshuesar; de porcinos; salados o en salmuera; secos o ...,1,0,0,3,1,0,1,0,0,8,91,74,61,33,0,0,0,0,0,0
021012,"""Tocino entreverado de panza """"panceta"""" y sus trozos; de porcinos; salados o en salmuera; ...",2,1,0,0,0,0,0,0,0,36,39,0,0,0,0,0,0,0,0,0
021019,"""Carne de porcinos; salada o en salmuera; seca o ahumada (exc. piernas; paletas; y sus trozos; ...",660,311,181,282,85,12,16,26,91,318,212,127,245,332,165,0,59,30,1,0
020713,Trozos y despojos comestibles; de gallo o de gallina; de especies domésticas; frescos o re ...,3,15,4,0,0,11,6,0,0,0,0,0,13,0,50,0,0,0,0,0
020724,"""Pavos """"gallipavos"""" de especies domésticas; sin trocear; frescos o refrigerados""",3,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020733,Carne y despojos comestibles; de aves de la partida 0105; frescos; refrigerados o congelados ...,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
020735,Carne y despojos comestibles; de aves de la partida 0105; frescos; refrigerados o congelados ...,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
020736,Carne y despojos comestibles; de aves de la partida 0105; frescos; refrigerados o congelados ...,0,0,6,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121210,Algarrobas y sus semillas; frescas; refrigeradas; congeladas o secas; incl. pulverizadas,0,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121220,Algarrobas; algas; remolacha azucarera y caña de azúcar; frescas; refrigeradas; congeladas ...,22353,26557,30399,35605,33603,41525,54718,60812,71212,81160,0,0,0,0,0,0,0,0,0,0
121230,"""Huesos """"carozos"""" y almendras de albaricoque """"damasco; chabacano""""; de melocotón """"durazno""""; ...",109,52,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121291,Remolacha azucarera; fresca; refrigerada; congelada o seca; incl. pulverizada,0,0,0,0,0,0,0,250,2,0,0,100,0,0,1,0,1,1,1,0
701342,Artículos de vidrio; para servicio de mesa o de cocina; con un coeficiente de dilatación lineal ...,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,1,0,0
701339,Artículos de vidrio; para servicio de mesa o de cocina (exc. con un coeficiente de dilatación ...,86,192,291,259,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701329,Vasos; jarros y demás recipientes de vidrio para beber (exc. de vitrocerámica o de cristal ...,150,1683,1727,2052,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701331,Artículos de cristal al plomo; para servicio de mesa o de cocina (exc. objetos de la partida ...,6,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701332,Artículos de vidrio; para servicio de mesa o de cocina; con un coeficiente de dilatación lineal ...,0,0,3,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700530,Vidrio flotado y vidrio desbastado o pulido por una o las dos caras; en placas o en hojas; ...,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
701091,Los demas tapones; tapas y demas dispositivos de cierre cap. sup. a 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701092,Tapones; tapas y demas dispositivos de cierre sup. 0.33 i pero inferio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701093,Tapones; tapas y demas dispositivos de cierre superior a0.15 l pero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701094,Tapones; tapas y denas dispositivos de cierre inferior o igual a 0.15l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701110,Ampollas y envolturas tubulares; abiertas; y sus partes; de vidrio; sin guarniciones; manifiestamente ...,0,0,121,64,12,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0
701120,Ampollas y envolturas tubulares; abiertas; y sus partes; de vidrio; sin guarniciones; manifiestamente ...,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
701190,Ampollas y envolturas tubulares; abiertas; y sus partes; de vidrio; sin guarniciones; manifiestamente ...,0,15,1,3,3,1,6,16,51,14,82,11,144,98,3,2,0,0,0,0
701310,Artículos de vitrocerámica para servicio de mesa; de cocina; de tocador; para oficina; de adorno ...,5,0,0,22,5,3,0,32,24,0,0,3,33,0,0,2,935,0,0,0
701321,Vasos; jarros y demás recipientes de vidrio para beber; de cristal al plomo,7,198,99,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701322,Vasos; jarros y demás recipientes de vidrio para beber,0,0,0,0,0,0,28,13,12,72,3,27,0,1,4,2,1,2,1,0
690919,Aparatos y artículos de cerámica; para usos químicos o demás usos técnicos (exc. de porcelana; ...,60,64,48,128,105,133,362,284,395,178,185,368,558,495,680,1044,1118,675,1217,0
700320,Placas u hojas de vidrio colado o laminado; armadas; incl. con capa absorbente; reflectante ...,0,0,0,3,0,8,0,7,0,8,0,0,0,0,0,52,0,0,0,0
